Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question736,"5. 1 Kg of water is pumped to a height of 10 m, the enthalpy is changed by 50 J/Kg, and work done by the motor is 300 J/Kg, assuming a system is insulated what is the change in internal energy of water?","a)	100 J","b)	150 J","c)	200 J","d)	300 J",b,Explanation: ÆU = 0 + 300*1 Ð 1*(50 + 10*10) = 150 J.
Question737,"6. 2 Kg of water (CP = 0.15 J/KgoC) is pumped to a height of 0.1 m, work done by the motor is 10 J/Kg, and heat liberated by it is 5 J/Kg, what is the final temperature of water if the initial temperature was 27oC?","a)	10oC","b)	19oC","c)	27oC","d)	37oC",d,"Explanation: ÆU = Q + W Ð m (ÆH + ÆPE + ÆKE), => 0 = Ð 5 + 10 Ð 2(ÆH + 10*0.1), => ÆH = 1.5 J/Kg, => 1.5 = 0.15(T Ð 27), => T = 37oC."
Question738,"7. 1 Kg of water (CP = 0.5 J/KgoC) is pumped to a height of 0.5 m, work done by the motor is 40 J/Kg, and heat liberated by it is 10 J/Kg, what is the final temperature of water if the initial temperature was 10oC?","a)	10oC","b)	30oC","c)	40oC","d)	60oC",d,"Explanation: ÆU = Q + W Ð m (ÆH + ÆPE + ÆKE), => 0 = Ð 10 + 40 Ð 1*(ÆH + 10*0.4), => ÆH = 25 J/Kg, => 25 = 0.5(T Ð 10), => T = 60oC."
Question739,"8. 1 Kg of water (CP = 0.5 J/KgoC) is pumped to a height of 1 m, work done by the motor is 20 J/Kg, and heat liberated by it is 5 J/Kg, what is the final temperature of water if the initial temperature was 20oC?","a)	20oC","b)	30oC","c)	40oC","d)	50oC",b,"Explanation: ÆU = Q + W Ð m (ÆH + ÆPE + ÆKE), => 0 = Ð 5 + 20 Ð 1*(ÆH + 10*1), => ÆH = 5 J/Kg, => 5 = 0.5(T Ð 20), => T = 30oC."
Question740,"9. 1 Kg of water (CP = 0.4 J/KgoC) is pumped to a height of 2 m, work done by the motor is 50 J/Kg, and heat liberated by it is 10 J/Kg, what is the final temperature of water if the initial temperature was 25oC?","a)	25oC","b)	45oC","c)	60oC","d)	75oC",d,"Explanation: ÆU = Q + W Ð m (ÆH + ÆPE + ÆKE), => 0 = Ð 10 + 50 Ð 1*(ÆH + 10*2), => ÆH = 20 J/Kg, => 20 = 0.4(T Ð 20), => T = 75oC."
Question741,"10. 5 Kg of water (CP = 1 J/KgoC) is pumped to a height of 0.5 m, work done by the motor is 50 J/Kg, and heat liberated by it is 5 J/Kg, what is the final temperature of water if the initial temperature was 0oC?","a)	2oC","b)	4oC","c)	6oC","d)	8oC",c,"Explanation: ÆU = Q + W Ð m (ÆH + ÆPE + ÆKE), => 0 = Ð 5 + 50 Ð 5*(ÆH + 10*0.5), => ÆH = 6 J/Kg, => 6 = 1*(T Ð 0), => T = 6oC."
Question742,"1. For exothermic reactions, what is the heat of reaction?","a)	Positive","b)	Negative","c)	Zero","d)	Cannot Say",b,"Explanation: In exothermic reactions, heat leaves the system, so the heat of reaction is negative."
Question743,"2. For endothermic reactions, what is the heat of reaction?","a)	Positive","b)	Negative","c)	Zero","d)	Cannot Say",a,"Explanation: In endothermic reactions, heat comes into the system, so the heat of reaction is positive."
Question744,"3. Enthalpy of reactants is 15 J/Kg and enthalpy of products is 40 J/Kg, what is the heat of reaction?","a)	-10 J/Kg","b)	10 J/Kg","c)	-25 J/Kg","d)	25 J/Kg",d,Explanation: Heat of reaction = 40 Ð 15 = 25 J/Kg.
Question745,"4. Enthalpy of reactants is 50 J/Kg and enthalpy of products is 25 J/Kg, what is the heat of reaction?","a)	-10 J/Kg","b)	10 J/Kg","c)	-25 J/Kg","d)	25 J/Kg",c,Explanation: Heat of reaction = 25 Ð 50 = -25 J/Kg.
Question746,"5. Enthalpy of reactants is 30 J/Kg and enthalpy of products is 10 J/Kg, what is the heat of reaction?","a)	-20 J/Kg","b)	20 J/Kg","c)	-10 J/Kg","d)	10 J/Kg",a,Explanation: Heat of reaction = 10 Ð 30 = -20 J/Kg.
Question747,"6. Heat of formations of A, B, C, and D, are 5 J, 10 J, 15 J, and 20 J respectively, what is the heat of reaction A + 4B -> 3C + D?","a)	10 J","b)	20 J","c)	35 J","d)	45 J",b,Explanation: Heat of reaction = 20 + 3*15 Ð 4*10 Ð 5 = 20 J.
Question748,"7. Heat of formations of A, B, C, and D, are 5 J, 8 J, 2 J, and 15 J respectively, what is the heat of reaction 3A + B -> 3C + 2D?","a)	9 J","b)	10 J","c)	13 J","d)	15 J",c,Explanation: Heat of reaction = 2*15 + 3*2 Ð 8 Ð 3*5 = 13 J.
Question749,"8. Heat of formations of A, B, C, and D, are 1 J, 2 J, 3 J, and 4 J respectively, what is the heat of reaction 3A + 4B -> 2C + D?","a)	-1 J","b)	1 J","c)	3 J","d)	6 J",a,Explanation: Heat of reaction = 4 + 2*3 Ð 4*2 Ð 3*1 = -1 J.
Question750,"9. Heat of formations of A, B, C, and D, are 2 J, 5 J, 3 J, and 10 J respectively, what is the heat of reaction 4A + 5B -> 2C + 2D?","a)	-10 J","b)	-7 J","c)	-5 J","d)	0",b,Explanation: Heat of reaction = 2*10 + 2*3 Ð 5*5 Ð 4*2 = -7 J.
Question751,"10. Heat of formations of A, B, C, and D, are 3 J, 5 J, 4 J, and 8 J respectively, what is the heat of reaction 2A + 2B -> 2C + D?","a)	-5 J","b)	0","c)	5 J","d)	8 J",b,Explanation: Heat of reaction = 8 + 2*4 Ð 2*5 Ð 2*3 = 0.
Question752,"11. In the reaction C + O2 -> CO2, if the heat liberated is 10 J, what is the heat of formation of CO2?","a)	-10 J","b)	10 J","c)	0","d)	Cannot be determined",a,Explanation: Heat of formation = -10 J.
Question753,"12. In the reaction 2H2 + O2 -> 2H2O, if the heat liberated is 50 J, what is the heat of formation of H2O?","a)	-25 J","b)	25 J","c)	-50 J","d)	50 J",a,Explanation: Heat of formation = -50/2 = -25 J.
Question754,"13. In the reaction 2N -> N2, if the heat liberated is 6 J, what is the heat of formation of N2?","a)	Ð 6 J","b)	6 J","c)	0","d)	Cannot be determined",a,Explanation: Heat of formation = -6 J.
Question755,"14. In the reaction 2C + O2-> 2CO, if the heat liberated is 10 J, what is the heat of formation of CO?","a)	-5 J","b)	5 J","c)	-10 J","d)	10 J",a,Explanation: Heat of formation = -10/2 = -5 J.
Question756,"15. In the reaction C + 2H2 -> CH4, if the heat liberated is -5 J, what is the heat of formation of CH4?","a)	-5J","b)	5 J","c)	0 J","d)	Cannot be determined",b,Explanation: Heat of formation = Ð (-5) = 5 J.
Question757,1. The standard heat of reaction is a heat of reaction for how many moles of compound?,"a)	0","b)	1","c)	2","d)	3",b,Explanation: The standard heat of reaction is a heat of reaction for one mole of compound.
Question758,"2. What is the heat of reaction for CH4 + 2O2 -> CO2 + 2H2O, if heat of formation of CH4, O2, CO2 and H2O are 10 J, 5 J, 6 J, and 12 J respectively?","a)	-10 J","b)	10 J","c)	-20 J","d)	20 J",b,Explanation: Heat of reaction = 2*12 + 6 Ð 2*5 Ð 10 = 10 J.
Question759,"3. What is the heat of reaction for 2H2 + O2 -> 2H2O, if heat of formation of H2, O2, and H2O are 2 J, 5 J, and 10 J respectively?","a)	2 J","b)	5 J","c)	8 J","d)	11 J",d,Explanation: Heat of reaction = 2*10 Ð 2*2 Ð 5 = 11 J.
Question760,"4. What is the heat of reaction for C2H4 + 3O2 -> 2CO2 + 2H2O, if heat of formation of C2H4, O2, CO2, and H2O are 10 J, 5 J, 6 J and 2 J respectively?","a)	-4 J","b)	-2 J","c)	0","d)	4 J",a,Explanation: Heat of reaction = 2*2 + 2*6 Ð 10 Ð 2*5 = -4 J.
Question761,"5. What is the heat of reaction for C6H6 + 3H2 -> C6H12, if heat of formation of C6H6, H2, and C6H12 are 25 J, 5 J and 50 J respectively?","a)	10 J","b)	20 J","c)	30 J","d)	35 J",a,Explanation: Heat of reaction = 50 Ð 3*5 Ð 25 = 10 J.
Question762,"6. What is the enthalpy of reaction for C + O2 -> CO2, if the conversion of C is 50%, and heat of formation of C, O2, and CO2 are 0, 0 and 10 J.","a)	5 J","b)	10 J","c)	15 J","d)	20 J",a,Explanation: Heat of reaction = 10*0.5 Ð 0 Ð 0 = 5 J.
Question763,"7. What is the enthalpy of reaction for CH4 + 2O2 -> CO2 + 2H2O, if the conversion of CH4 is 50%, and heat of formation of CH4, O2, CO2, and H2O are 10 J, 0, 6 J and 4 J?","a)	0","b)	2 J","c)	4 J","d)	6 J",b,Explanation: Heat of reaction = 2*4*0.5 + 6*0.5 + 10*0.5 Ð 2*0 Ð 10 = 4 + 3 + 5 Ð 10 = 2 J.
Question764,"8. What is the enthalpy of reaction for C2H4 + 3O2 -> 2CO2+ 2H2O, if the conversion of CH4 is 50%, and heat of formation of CH4, O2, CO2, and H2O are 10 J, 0, 6 J and 4 J?","a)	0","b)	2 J","c)	5 J","d)	10 J",d,Explanation: Heat of reaction = 2*4*0.5 + 2*6*0.5 + 10*0.5 Ð 0 Ð 10*0.5 = 10 J.
Question765,"9. What is the enthalpy of reaction for CO2 + 4H2 -> 2H2O + CH4, if the conversion of CO2 is 50%, and heat of formation of CO2, H2, H2O, and CH4 are 6 J, 0, 4 J and 10 J?","a)	2 J","b)	5 J","c)	6 J","d)	9 J",d,Explanation: Heat of reaction = 10*0.5 + 2*4*0.5 + 6*0.5 Ð 6*0.5 = 9 J.
Question766,"10. What is the enthalpy of reaction forC6H6 -> 3C2H2, if the conversion of C6H6 is 80%, and heat of formation of C6H6, and C2H2 are 24 J, and 8 J?","a)	0","b)	2.4 J","c)	4.8 J","d)	5.6 J",c,Explanation: Heat of reaction = 3*8*0.8 + 24*0.2 Ð 24*0.8 = 4.8 J.
Question767,"11. What is the enthalpy change of a reaction at 45oC, if the enthalpy of reactant at 45oC and 25oC are 10 J and 6 J, and enthalpy of product at 45oC and 25oC are 15 J and 8 J, and the enthalpy change of reaction at 25oC is 10 J?","a)	14 J","b)	21 J","c)	27 J","d)	34 J",b,Explanation: Heat of reaction = (10 Ð 6) + (15 Ð 8) + 10 = 21 J.
Question768,"12. What is the enthalpy change of a reaction at 35oC, if the enthalpy of reactant at 35oC and 25oC are 18 J and 10 J, and enthalpy of product at 35oC and 25oC are 12 J and 8 J, and the enthalpy change of reaction at 25oC is 15 J?","a)	9 J","b)	14 J","c)	22 J","d)	27 J",d,Explanation: Heat of reaction = (18 Ð 10) + (12 Ð 8) + 15 = 27 J.
Question769,"13. What is the enthalpy change of a reaction at 35oC, if the enthalpy of reactant at 35oC and 25oC are 22 J and 15 J, and enthalpy of product at 35oC and 25oC are 10 J and 5 J, and the enthalpy change of reaction at 25oC is 36 J?","a)	12 J","b)	24 J","c)	36 J","d)	48 J",d,Explanation: Heat of reaction = (22 Ð 15) + (10 Ð 5) + 36 = 7 + 5 + 36 = 48 J.
Question770,"14. What is the enthalpy change of a reaction at 30oC, if the enthalpy of reactant at 30oC and 25oC are 18 J and 15 J, and enthalpy of product at 30oC and 25oC are 10 J and 8 J, and the enthalpy change of reaction at 25oC is 45 J?","a)	10 J","b)	25 J","c)	50 J","d)	100 J",c,Explanation: Heat of reaction = (18 Ð 15) + (10 Ð 8) + 45 = 50 J.
Question771,"15.  What is the enthalpy change of a reaction at 90oC, if the enthalpy of reactant at 90oC and 25oC are 60 J and 25 J, and enthalpy of product at 90oC and 25oC are 80 J and 10 J, and the enthalpy change of reaction at 25oC is 5 J?","a)	10 J","b)	50 J","c)	110 J","d)	150 J",c,Explanation: Heat of reaction = (60 Ð 25) + (80 Ð 10) + 5 = 110 J.
Question772,1. How are enthalpies of streams calculated?,"a)	Relative to the reference state","b)	Absolutely","c)	Depends on the reaction","d)	None of the mentioned",a,Explanation: Enthalpies of the streams are calculated relative to the reference state.
Question773,"2. What is the enthalpy of a reaction, if the standard heat of formation of a compound is 10 J and sensible heat of the compound is 5 J?","a)	0","b)	5 J","c)	10 J","d)	15 J",d,Explanation: Enthalpy of reaction = 10 + 5 = 15 J.
Question774,"3. What is the enthalpy of a reaction, if the standard heat of formation of a compound is 15 J and sensible heat of the compound is 25 J?","a)	15 J","b)	25 J","c)	40 J","d)	50 J",c,Explanation: Enthalpy of reaction = 15 + 25 = 40 J.
Question775,"4. What is the enthalpy of a reaction, if the standard heat of formation of a compound is 15 J, sensible heat of the compound is 25 J, and latent heat of the compound is 10 J?","a)	25 J","b)	40 J","c)	50 J","d)	65 J",c,Explanation: Enthalpy of reaction = 15 + 25 + 10 = 50 J.
Question776,"5. What is the enthalpy of a reaction, if the standard heat of formation of a compound is 10 J, sensible heat of the compound is 30 J, and latent heat of the compound is 20 J?","a)	10 J","b)	30 J","c)	40 J","d)	60 J",d,Explanation: Enthalpy of reaction = 10 + 30 + 20 = 60 J.
Question777,"6. What is the enthalpy of the reaction from 25oC to 40oC if CP = 10 J/oC, and the reference enthalpy is 10 J?","a)	80 J","b)	120 J","c)	160 J","d)	200 J",c,Explanation: Enthalpy of reaction = 10 + 25º4010.dT = 10 + 10*15 = 160 J.
Question778,"7. What is the enthalpy of the reaction from 10oC to 15oC if CP = 5 J/oC, and the reference enthalpy is 25 J?","a)	25 J","b)	50 J","c)	75 J","d)	100 J",b,Explanation: Enthalpy of reaction = 25 + 10º155.dT = 25 + 5*5 = 50 J.
Question779,"8. What is the enthalpy of the reaction from 10oC to 25oC if CP = 2 J/oC, and the reference enthalpy is 20 J?","a)	50 J","b)	60 J","c)	75 J","d)	90 J",a,Explanation: Enthalpy of reaction = 20 + 10º252.dT = 20 + 15*2 = 50 J.
Question780,"9. What is the enthalpy of the reaction from 15oC to 25oC if CP = 3 J/oC, and the reference enthalpy is 15 J?","a)	15 J","b)	30 J","c)	45 J","d)	60 J",c,Explanation: Enthalpy of reaction = 15 + 15º253.dT = 15 + 3*10 = 45 J.
Question781,"10. What is the enthalpy of the reaction from 50oC to 52oC if CP = 15 J/oC, and the reference enthalpy is 25 J?","a)	10 J","b)	35 J","c)	55 J","d)	65 J",c,Explanation: Enthalpy of reaction = 25 + 50º5215.dT = 25 + 2*15 = 55 J.
Question782,11. What is the heat transferred to the system if the enthalpy of the output is 10 J and input is 6 J?,"a)	4 J","b)	5 J","c)	6 J","d)	8 J",a,Explanation: Q = ÆHout Ð ÆHin = 10 Ð 6 = 4 J.
Question783,12. What is the heat transferred to the system if the enthalpy of the output is 14 J and input is 8 J?,"a)	4 J","b)	6 J","c)	8 J","d)	10 J",b,Explanation: Q = 14 Ð 8 = 6 J.
Question784,13. What is the heat transferred to the system if the enthalpy of the output is 15 J and input is 10 J?,"a)	1 J","b)	2 J","c)	4 J","d)	5 J",d,Explanation: Q = 15 Ð 10 = 5 J.
Question785,14. What is the heat transferred from the system if the enthalpy of the output is 5 J and input is 10 J?,"a)	-5 J","b)	-10 J","c)	-15 J","d)	5 J",d,Explanation: Heat transferred from the system = 10 Ð 5 = 5 J.
Question786,15. What is the heat transferred from the system if the enthalpy of the output is 25 J and input is 10 J?,"a)	5 J","b)	-5 J","c)	15 J","d)	-15 J",d,Explanation: Heat transferred from the system = 10 Ð 25 = -15 J.
Question787,1. What is the heat of reaction if the heat of combustion of products is 10 J and heat of combustion of reactants is 5 J?,"a)	-5 J","b)	5 J","c)	10 J","d)	Cannot be determined",a,Explanation: Heat of reaction = 5 Ð 10 = -5 J.
Question788,2. What is the heat of reaction if the heat of combustion of products is 10 J and heat of combustion of reactants is 15 J?,"a)	-5 J","b)	5 J","c)	10 J","d)	Cannot say",b,Explanation: Heat of reaction = 15 Ð 10 = 5 J.
Question789,3. What is the heat of reaction if the heat of combustion of products is 40 J and heat of combustion of reactants is 25 J?,"a)	5 J","b)	10 J","c)	15 J","d)	-15 J",d,Explanation: Heat of reaction = 25 Ð 40 = -15 J.
Question790,4. What is the heat of reaction if the heat of combustion of products is 25 J and heat of combustion of reactants is 15 J?,"a)	-5 J","b)	5 J","c)	-10 J","d)	10 J",c,Explanation: Heat of reaction = 15 Ð 25 = -10 J.
Question791,5. What is the heat of reaction if the heat of combustion of products is 2 J and heat of combustion of reactants is 10 J?,"a)	8 J","b)	-8 J","c)	4 J","d)	-4 J",a,Explanation: Heat of reaction = 10 Ð 2 = 8 J.
Question792,6. What is the heating value of 10 Kg of coal with heat of combustion 10 J/Kg?,"a)	-10 J","b)	10 J","c)	-100 J","d)	100 J",c,Explanation: Heating value = Ð Heat of combustion = -10*10 = -100 J.
Question793,7. What is the heating value of 2 Kg of coal with heat of combustion 15 J/Kg?,"a)	-15 J","b)	15 J","c)	-30 J","d)	30 J",c,Explanation: Heating value = Ð Heat of combustion = -15*2 = -30 J.
Question794,8. What is the difference between higher heating value and lower heating value if the product has 5 moles of H2O and Enthalpy of vaporization is 10 J/mole at standard conditions?,"a)	10 J","b)	-10 J","c)	50 J","d)	-50 J",c,Explanation: HHV Ð LHV = 5*10 = 50 J.
Question795,9. What is the difference between lower heating value and higher heating value if the product has 2 moles of H2O and Enthalpy of vaporization is 40 J/mole at standard conditions?,"a)	-40 J","b)	40 J","c)	-80 J","d)	80 J",c,Explanation: LHV Ð HHV = -2*40 = -80 J.
Question796,10. What is the value of higher heating value if the value of lower heating value is 10 J and the product has 5 moles of H2O and Enthalpy of vaporization is 4 J/mole at standard conditions?,"a)	10 J","b)	20 J","c)	30 J","d)	40 J",c,Explanation: HHV = 10 + 5*4 = 30 J.
Question797,"11. What is the heat of reaction for CH4 + 2O2 -> CO2 + 2H2O, if the heat of combustion of H2O = 5 J, CO2 = 10 J, O2 = 0, and CH4 = 25 J?","a)	-5 J","b)	5 J","c)	-10 J","d)	10 J",b,Explanation: Heat of reaction = 25 + 0 Ð 10 Ð 2*5 = 5 J.
Question798,"12. What is the heat of reaction for N2 + 3H2 -> 2NH3, if the heat of combustion of N2 = 5 J, H2 = 2 J, and NH3 = 15 J?","a)	-5 J","b)	5 J","c)	-19 J","d)	19 J",c,Explanation: Heat of reaction = 3*2 + 5 Ð 15*2 = -19 J.
Question799,"13. What is the heat of reaction for 2CO + O2 -> 2CO2, if the heat of combustion of CO = 20 J, O2 = 5 J, and CO2 = 25 J?","a)	5 J","b)	-5 J","c)	15 J","d)	-15 J",c,Explanation: Heat of reaction = 20*2 + 5 Ð 2*25 = -5 J.
Question800,"14. What is the heat of reaction for H2 + Cl2 -> 2HCl, if the heat of combustion of H2 = 2 J, Cl2 = 10 J, and HCl = 10 J?","a)	-8 J","b)	8 J","c)	-10 J","d)	10 J",a,Explanation: Heat of reaction = 10 + 2 Ð 2*10 = -8 J.
Question801,"15. What is the heat of reaction for C6H6 + 3H2 -> C6H12, if the heat of combustion of H2 = 2 J, C6H6= 30 J, and C6H12 = 25 J?","a)	-6 J","b)	6 J","c)	-11 J","d)	11 J",d,Explanation: Heat of reaction = 30 + 2*3 Ð 25 = 11 J.
Question802,1. What are the degrees of freedom?,"a)	Total variables in the process","b)	Total species in the process","c)	Total reactions in the process","d)	None of the mentioned",a,Explanation: Degrees of freedom is the total number of variables involved in the process.
Question803,"2. What are the total degrees of freedom if the number of species are 5, total streams are 2, stream temperature 2, stream pressure 2 and heat released 1?","a)	1","b)	5","c)	6","d)	12",d,Explanation: Degrees of freedom = 5 + 2 + 2 + 2 + 1 = 12.
Question804,"3. What are the total degrees of freedom if the number of species are 8, total streams are 3, stream temperature 3, stream pressure 3 and heat released 1, extent of reaction 2?","a)	8","b)	12","c)	15","d)	17",d,Explanation: Degrees of freedom = 8 + 3 + 3 + 3 + 1 + 2 = 17.
Question805,"4. What are the total degrees of freedom if the number of species are 4, total streams are 2, stream temperature 2, stream pressure 1 and heat released 1, extent of reaction 1?","a)	4","b)	7","c)	11","d)	15",c,Explanation: Degrees of freedom = 4 + 2 + 2 + 1 + 1 + 1 = 11.
Question806,"5. What are the total degrees of freedom if the number of species are 8, total streams are 4, stream temperature 2, stream pressure 2 and heat released 1, extent of reaction 3?","a)	12","b)	16","c)	20","d)	24",c,Explanation: Degrees of freedom = 8 + 4 + 2 + 2 + 1 + 3 = 20.
Question807,"6. In a reactor two stream are entering, one with CH4 at 10 atm and 27oC, and another with O2 at 10 atm and 0oC, producing CO2, CO, H2O, and O2 at 10 atm and 23oC, what are the total degrees of freedom?","a)	12","b)	16","c)	18","d)	20",c,"Explanation: Total species = 1 + 1 + 4 = 6, total stream flows = 3, stream pressures = 3, stream temperatures = 3, heat released = 1, and extent of reaction = 2, => degrees of freedom = 6 + 3 + 3 + 3 + 1 + 2 = 18."
Question808,"7. In a reactor two stream are entering, one with H2 at 10 atm and 27oC, and another with O2 at 10 atm and 0oC, producing H2O2, H2O, and O2 at 10 atm and 23oC, what are the total degrees of freedom?","a)	12","b)	17","c)	19","d)	23",b,"Explanation: Total species = 1 + 1 + 3 = 5, total stream flows = 3, stream pressures = 3, stream temperatures = 3, heat released = 1, and extent of reaction = 2, => degrees of freedom = 5 + 3 + 3 + 3 + 1 + 2 = 17."
Question809,"8. In a reactor two stream are entering, one with N2 at 10 atm and 27oC, and another with O2 at 10 atm and 0oC, producing NO, NO2, NO3, and O2 at 10 atm and 23oC, what are the total degrees of freedom?","a)	12","b)	17","c)	19","d)	21",c,"Explanation: Total species = 1 + 1 + 4 = 6, total stream flows = 3, stream pressures = 3, stream temperatures = 3, heat released = 1, and extent of reaction = 3, => degrees of freedom = 6 + 3 + 3 + 3 + 1 + 3 = 19."
Question810,"9. In a reactor two stream are entering, one with S at 10 atm and 27oC, and another with O2 at 10 atm and 0oC, producing SO2, SO3, and O2 at 10 atm and 23oC, what are the total degrees of freedom?","a)	10","b)	13","c)	15","d)	17",d,"Explanation: Total species = 1 + 1 + 3 = 5, total stream flows = 3, stream pressures = 3, stream temperatures = 3, heat released = 1, and extent of reaction = 2, => degrees of freedom = 5 + 3 + 3 + 3 + 1 + 2 = 17."
Question811,"10. In a reactor two stream are entering, one with H2 at 10 atm and 27oC, and another with O2 at 10 atm and 0oC, producing H2O at 10 atm and 23oC, what are the total degrees of freedom?","a)	10","b)	14","c)	16","d)	19",b,"Explanation: Total species = 1 + 1 + 1 = 3, total stream flows = 3, stream pressures = 3, stream temperatures = 3, heat released = 1, and extent of reaction = 1, => degrees of freedom = 3 + 3 + 3 + 3 + 1 + 1 = 14."
Question812,"11. If the reactions are unknown, is it possible to determine the degrees of freedom?","a)	Yes","b)	No","c)	Depends on the type of reaction","d)	None of the mentioned",b,"Explanation: For degrees of freedom calculation, number of species are required for which the reactions should be known."
Question813,"12. In a reactor two stream are entering, one with CH4 at 10 atm and 27oC, and another with O2 at 10 atm and 0oC, producing CO2 and H2O at 10 atm and 23oC, what are the total degrees of freedom?","a)	10","b)	12","c)	15","d)	17",c,"Explanation: Total species = 1 + 1 + 2 = 4, total stream flows = 3, stream pressures = 3, stream temperatures = 3, heat released = 1, and extent of reaction = 1, => degrees of freedom = 4 + 3 + 3 + 3 + 1 + 1 = 15."
Question814,"13. In a reactor two stream are entering, one with C6H6 at 10 atm and 27oC, and another with H2 at 10 atm and 0oC, producing C6H12 and H2 at 10 atm and 23oC, what are the total degrees of freedom?","a)	10","b)	15","c)	20","d)	23",b,"Explanation: Total species = 1 + 1 + 2 = 4, total stream flows = 3, stream pressures = 3, stream temperatures = 3, heat released = 1, and extent of reaction = 1, => degrees of freedom = 4 + 3 + 3 + 3 + 1 + 1 = 15."
Question815,"14. In a reactor two stream are entering, one with C6H6 at 10 atm and 27oC, and another with H2 at 10 atm and 0oC, producing C6H6, C6H12, and H2 at 10 atm and 23oC, what are the total degrees of freedom?","a)	10","b)	12","c)	15","d)	16",d,"Explanation: Total species = 1 + 1 + 3 = 5, total stream flows = 3, stream pressures = 3, stream temperatures = 3, heat released = 1, and extent of reaction = 1, => degrees of freedom = 5 + 3 + 3 + 3 + 1 + 1 = 16."
Question816,"15. In a reactor two stream are entering, one with CO2 at 10 atm and 27oC, and another with H2O at 10 atm and 0oC, producing CH4, CO2, H2O, and O2 at 10 atm and 23oC, what are the total degrees of freedom?","a)	10","b)	15","c)	17","d)	21",c,"Explanation: Total species = 1 + 1 + 4 = 6, total stream flows = 3, stream pressures = 3, stream temperatures = 3, heat released = 1, and extent of reaction = 1, => degrees of freedom = 6 + 3 + 3 + 3 + 1 + 1 = 17."
Question817,"1. What is the sensible heat of a reaction if the enthalpy of outputs is 15 J, and enthalpy of inputs is 5 J?","a)	3 J","b)	5 J","c)	10 J","d)	15 J",c,Explanation: Q = ÆHoutput Ð ÆHinput = 15 Ð 5 = 10 J.
Question818,"2. What is the sensible heat of a reaction if the enthalpy of outputs is 5 J, and enthalpy of inputs is 10 J?","a)	-5 J","b)	5 J","c)	-10 J","d)	10 J",a,Explanation: Q = ÆHoutput Ð ÆHinput = 5 Ð 10 = -5J.
Question819,"3. What is the heat of reaction if enthalpy of inputs and outputs at 25oC are 10 J and 20 J, the enthalpy of input and outputs at given temperature are 25 J and 30 J, enthalpy change of the reaction is 50 J?","a)	45 J","b)	50 J","c)	55 J","d)	60 J",c,Explanation: Heat of reaction = (25 Ð 10) Ð (30 Ð 20) + 50 = 55 J.
Question820,"4. What is the heat of reaction if enthalpy of inputs and outputs at 25oC are 5 J and 8 J, the enthalpy of input and outputs at given temperature are 12 J and 15 J, enthalpy change of the reaction is 25 J?","a)	20 J","b)	25 J","c)	30 J","d)	35 J",b,Explanation: Heat of reaction = (12 Ð 5) Ð (15 Ð 8) + 25 = 25 J.
Question821,"5. What is the heat of reaction if enthalpy of inputs and outputs at 25oC are 10 J and 8 J, the enthalpy of input and outputs at given temperature are 5 J and 20 J, enthalpy change of the reaction is 30 J?","a)	13 J","b)	22 J","c)	28 J","d)	35 J",a,Explanation: Heat of reaction = (5 Ð 10) Ð (20 Ð 8) + 30 = 13 J.
Question822,6. Theoretical flame temperature is defined for which process?,"a)	Isothermal","b)	Adiabatic","c)	Isobaric","d)	Isochoric",b,Explanation: Theoretical flame temperature is defined for adiabatic processes.
Question823,7. What is the heat for the process for which theoretical flame temperature is defined?,"a)	Positive","b)	Negative","c)	Zero","d)	Cannot say",c,"Explanation: Theoretical flame temperature is defined for adiabatic processes, => Q = 0."
Question824,8. How much the limiting reactant reacts in the process for which theoretical flame temperature is defined?,"a)	Completely","b)	Partially","c)	Does not react","d)	None of the mentioned",a,Explanation: The limiting reactant reacts completely in the process for which theoretical flame temperature is defined.
Question825,9. What are other effects occur in the process for which theoretical flame temperature is defined?,"a)	Electrical effects","b)	Free radical formation","c)	Ionization","d)	No other effects",d,Explanation: No other effect occurs in the process for which theoretical flame temperature is defined.
Question826,10. If the temperature of the reaction is 25oC what will be the temperature of the products of the reaction for which theoretical flame temperature is defined?,"a)	25oC","b)	45oC","c)	75oC","d)	100oC",c,Explanation: For the reaction in which theoretical flame temperature is defined temperature of the products is same as the temperature of the reaction.
Question827,11. If the temperature of the reaction is 50oC what will be the temperature of the products of the reaction for which theoretical flame temperature is defined?,"a)	25oC","b)	50oC","c)	75oC","d)	100oC",b,Explanation: For the reaction in which theoretical flame temperature is defined temperature of the products is same as the temperature of the reaction.
Question828,"12. What is the heat transferred for a 10 mole unsteady state closed system, if a change in internal energy is 5 J/mole?","a)	5 J","b)	10 J","c)	50 J","d)	100 J",c,Explanation: Q = ÆU = 10*5 = 50 J.
Question829,"13. What is the heat transferred for a 10 mole unsteady state closed system, if initial internal energy is 6 J/mole and final internal energy is 10 J/mole?","a)	4 J","b)	10 J","c)	40 J","d)	60 J",c,Explanation: Q = Uf Ð Ui = 10(10 Ð 6) = 40 J.
Question830,"14. What is the heat transferred for an unsteady state closed system, if a change in enthalpy is 5 J, and change in pressure is 10 Pa at constant volume 5 m3?","a)	5 J","b)	50 J","c)	55 J","d)	85 J",c,Explanation: Q = 5 + 10*5 = 55 J.
