Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,,,,,,,,,,,,,,,,,,,
Question 841,4. Which of the following streaming is also called progressive download?,a) Offline,b) Live,c) On-demand,d) All of the mentioned,b,Explanation: Live streaming is called progressive streaming.,,,,,,,,,,,,,,,,,,,
Question 842,5. Point out the wrong statement:,a) Video streaming was among the first media applications to find widespread use on the Internet,b) VoIP is a form of audio streaming with a set of specialized protocols,c) Broadband connections and low-cost infrastructure have made video streaming services widely available,d) None of the mentioned,a,"Explanation: Cloud computing has expanded the use of streamed audio to make radio, Webcasts, music sites, and other services widely available.",,,,,,,,,,,,,,,,,,,
Question 843,6. Which of the following streaming occurs from the material that is already stored to disk?,a) Online,b) Live,c) On-demand,d) All of the mentioned,c,Explanation: Streaming media are files that are sent in pieces by a service and played back by a client as the delivery continues.,,,,,,,,,,,,,,,,,,,
Question 844,"7. When a live stream is sent multicast to 1,000 concurrent users at 500 kbps, the number of megabytes transferred is :",a) 220 GB,b) 220 MB,c) 220 TB,d) None of the mentioned,a,Explanation: Formula for data transfer is: MB transferred = Bandwidth x Time x Number of Users.,,,,,,,,,,,,,,,,,,,
Question 845,8. Which of the following is a stream sent from a service to an individual user?,a) Unicast,b) Multicast,c) Broadcast,d) None of the mentioned,a,"Explanation: For many content services, such as the music services Last FM and Rhapsody, a vast number of files are being served to individual users and they go out using unicast protocols as individual streams.",,,,,,,,,,,,,,,,,,,
Question 846,9. Applications that protect streamed content by playing the part of the file and discarding it are more aptly referred to as _________,a) Streaming,b) Scaling,c) Gathering,d) All of the mentioned,a,"Explanation: Even if delivery is always over a WAN connection, CDN (Content Delivery Network) still offers enormous inefficiencies.",,,,,,,,,,,,,,,,,,,
Question 847,10. Which of the following transmission protocol is used in case of streamed media scenario?,a) TCP,b) UDP,c) HTTP,d) None of the mentioned,b,Explanation: UDP stands for user datagram protocol.,,,,,,,,,,,,,,,,,,,
Question 848,1. Which of the following is audio streaming application by Microsoft ?,a) Hangout,b) Skype,c) Voice,d) All of the mentioned,b,Explanation:  Skype is a telecommunications application software product that specializes in providing video chat and voice calls from computer.,,,,,,,,,,,,,,,,,,,
Question 849,2. Point out the correct statement:,a) Streaming files is a way of delivering large content in pieces so playback can begin more quickly,b) Streaming is used for broadcasting current events,c) Cloud computing provides large storage for maintaining libraries,d) All of the mentioned,d,Explanation:  Cloud computing has a number of advantages that aid content providers and delivery systems.,,,,,,,,,,,,,,,,,,,
Question 850,3. How many types of streamed material exist for audio/video streaming applications ?,a) 1,b) 2,c) 3,d) 4,b,Explanation:  Streamed material can be live or on-demand.,,,,,,,,,,,,,,,,,,,
Question 851,4. Which of the following streaming is also called progressive download ?,a) Offline,b) Live,c) On demand,d) All of the mentioned,b,Explanation:  Live streaming is called progressive streaming.,,,,,,,,,,,,,,,,,,,
Question 852,5. Point out the wrong statement:,a) Video streaming was among the first media applications to find widespread use on the Internet,b) VoIP is a form of audio streaming with a set of specialized protocols,c) Broadband connections and low-cost infrastructure have made video streaming services widely available,d) None of the mentioned,a,"Explanation:  Cloud computing has expanded the use of streamed audio to make radio, Web casts, music sites, and other services widely available.",,,,,,,,,,,,,,,,,,,
Question 853,6. Which of the following streaming occurs from material that is already stored to disk ?,a) Online,b) Live,c) On demand,d) All of the mentioned,c,Explanation:  Streaming media are files that are sent in pieces by a service and played back by a client as the delivery continues.,,,,,,,,,,,,,,,,,,,
Question 854,"7. When a live stream is sent multicast to 1,000 concurrent users at 500 kbps, the number of megabytes transferred is :",a) 220 GB,b) 220 MB,c) 220 TB,d) None of the mentioned,a,Explanation:  Formula for data transfer is: MB transferred = Bandwidth x Time x Number of Users.,,,,,,,,,,,,,,,,,,,
Question 855,8. Which of the following is a stream sent from a service to an individual user ?,a) Unicast,b) Multicast,c) Broadcast,d) None of the mentioned,a,"Explanation:  For many content services, such as the music services Last fm and Rhapsody, a vast number of files are being served to individual users and they go out using unicast protocols as individual streams.",,,,,,,,,,,,,,,,,,,
Question 856,9. Applications that protect streamed content by playing part of the file and discarding it are more aptly referred to as _________,a) Streaming,b) Scaling,c) Gathering,d) All of the mentioned,a,"Explanation:  Even if delivery is always over a WAN connection, CDN (Content Delivery Network) still offers enormous inefficiencies.",,,,,,,,,,,,,,,,,,,
Question 857,10. Which of the following transmission protocol is used in case of streamed media scenario ?,a) TCP,b) UDP,c) HTTP,d) None of the mentioned,b,Explanation:  UDP stands for user datagram protocol.,,,,,,,,,,,,,,,,,,,
Question 858,2. Point out the correct statement:,a) SHOUTcast is best known for its SHOUTcast Radio,b) SHOUTcast is a proprietary server solution for streaming media on the Internet,c) NPR started out providing RealAudio files for streaming and then added Windows Media files as a second format,d) All of the mentioned,d,Explanation: National Public Radio is a very good example of how audio streaming has evolved.,,,,,,,,,,,,,,,,,,,
Question 859,3. Which of the following is the most commonly used VoIP standard ?,a) SDP,b) IMS,c) SIP,d) None of the mentioned,b,Explanation: IMS stands for IP Multimedia Subsystem.,,,,,,,,,,,,,,,,,,,
Question 860,4. Which of the following is more light weight protocol among listed below ?,a) H.323,b) MGCP,c) SIP,d) All of the mentioned,c,Explanation: MGCP stands for Media Gateway Control Protocol.,,,,,,,,,,,,,,,,,,,
Question 861,5. Point out the wrong statement:,a) H.323 is used on short transmission lines,b) POTS is also referred to as the Public Switched Telephone Network (PSTN),c) The ITU-T is the standards body for PSTN,d) None of the mentioned,a,Explanation: H.323 is used on short transmission lines.,,,,,,,,,,,,,,,,,,,
Question 862,"6. The Skype protocol is a proprietary (closed-source) protocol, parts of which use the Global Index ______ protocol.",a) C2C,b) P2P,c) RTCP,d) None of the mentioned,b,Explanation: Skype uses the peer-to-peer model that was based on Kazaa.,,,,,,,,,,,,,,,,,,,
Question 863,7. Which of the following encryption method or algorithm is used in Skype communication ?,a) AES,b) DES,c) SHA,d) None of the mentioned,a,Explanation: Skype communication is encrypted using standard encryption methods.,,,,,,,,,,,,,,,,,,,
Question 864,8. Which of the following feature is supported by Skype application ?,a) Message logging,b) Instant messaging,c) File transfers,d) All of the mentioned,d,Explanation: Skype is perhaps the most widely used telephony application in the world.,,,,,,,,,,,,,,,,,,,
Question 865,9. How many streaming service does Google have which uses VoIP protocols ?,a) 2,b) 3,c) 4,d) All of the mentioned,a,Explanation: Google has two streaming services that use VoIP protocols: Google Talk and Google Voice.,,,,,,,,,,,,,,,,,,,
Question 866,10. Google Talk is a service that uses the ______ protocol for the Google Chat IM client.,a) QuickTime,b) Jabber,c) Jaspersoft,d) None of the mentioned,b,"Explanation: Google Voice is Google’s telephony application, which is also a VoIP service.",,,,,,,,,,,,,,,,,,,
Question 867,1. Google Talk is a Windows only VoIP service on the desktop that uses the ________ protocol.,a) Jabber,b) Jingle,c) SIP,d) None of the mentioned,b,"Explanation: It supports communication with mobile XMPP clients such as the Nokia N900 Smartphone, Blackberry, iPhone, and Android phones.",,,,,,,,,,,,,,,,,,,
Question 868,2. Point out the correct statement:,a) Video streaming over the Internet has become one of the major broadcast transmission media,b) The Internet’s “Wayback Machine” stores past versions of the Internet and includes some interesting and significant out-of-copyright video,content,"c) Kyte is a video platform for live and on-demand content streamed to online, mobile, and social media platforms",d,Explanation: Video streaming is one of these technologies that benefits greatly from deployment in the cloud.,,,,,,,,,,,,,,,,,,,
Question 869,3. Which of the following is the most widespread video streaming service ?,a) Flickr,b) Dailymotion,c) Metacafe,d) All of the mentioned,d,"Explanation: Metacafe is an entertainment site with movie trailers, TV shows, video games, and more.",,,,,,,,,,,,,,,,,,,
Question 870,4. Which of the following is the largest video sharing site ?,a) YouTube,b) YuMe,c) Yahoo Video,d) All of the mentioned,a,Explanation: YuMe is a video advertising company.,,,,,,,,,,,,,,,,,,,
Question 871,5. Point out the wrong statement:,"a) Veoh serves TV and movie content from major studios, along with uploaded user content",b) UStream.tv is a live video event streaming service,c) RuTube is a popular Japanese video-sharing site,d) None of the mentioned,c,Explanation: RuTube is a popular Russian video-sharing site.,,,,,,,,,,,,,,,,,,,
Question 872,6. Which of the following application is an example of TV over the Internet ?,a) Hulu.com,b) MySpace,c) Comcast,d) None of the mentioned,a,"Explanation: Hulu was launched in 2007 as a joint venture by ABC, Fox, and NBC to offer content to viewers.",,,,,,,,,,,,,,,,,,,
Question 873,7. Which of the following movie subscription service has moved to the cloud ?,a) AOL,b) Netflix,c) XBox,d) None of the mentioned,b,Explanation: Netflix also is expected to use the cloud deployment to expand the support of other devices.,,,,,,,,,,,,,,,,,,,
Question 874,8. Which of the following can be best be described as a digital media receiver ?,a) Apple TV,b) Google TV,c) Windows Live,d) All of the mentioned,a,Explanation: Google TV is a media center software platform that will appear in some HDTVs.,,,,,,,,,,,,,,,,,,,
Question 875,9. Which of the following media players can view HTML5 content ?,a) XBMC,b) Media Player Classic,c) Moovida Core,d) All of the mentioned,d,Explanation: Kodi (formerly XBMC) is a free and open-source media player software developed by the XBMC Foundation.,,,,,,,,,,,,,,,,,,,
Question 876,10. Which of the following is most widely used streaming video file container format ?,a) H.261,b) H.262,c) H.264,d) None of the mentioned,c,"Explanation: H.264 is used as the streaming format for most large video sites, such as YouTube and iTunes.",,,,,,,,,,,,,,,,,,,
Question 877,1. Which of the following is also known as MPEG-4 AVC ?,a) MPEG-4 Part 9,b) MPEG-4 Part 10,c) MPEG-4 Part 11,d) None of the mentioned,b,Explanation: AVC stands for Advanced Video Coding.,,,,,,,,,,,,,,,,,,,
Question 878,2. Point out the wrong statement:,a) Video streaming is a high data-rate transfer activity that benefits greatly from the cloud,b) Very few video services are already cloud-based,c) Audio streaming has enabled low-cost distribution of news and entertainment,d) All of the mentioned,d,Explanation: Many video services are already cloud-based.,,,,,,,,,,,,,,,,,,,
Question 879,3. ITU-T Video Coding Experts Group (VCEG) and the ISO/IEC Moving Picture Experts Group (MPEG) created the __________ standard.,a) JVM,b) JVT,c) JVS,d) All of the mentioned,b,Explanation: Both standards are technically identical.,,,,,,,,,,,,,,,,,,,
Question 880,4. Which of the following format is not suitable for cloud-based implementation meant for large audiences ?,a) H.263,b) MPEG-4 Part 10,c) H.264,d) All of the mentioned,c,"Explanation: Older and less capable formats such as H.263, MPEG-4 Part 2, and MPEP-2 are still in use.",,,,,,,,,,,,,,,,,,,
Question 881,5. Point out the wrong statement:,"a) In order to support a range of devices, the Advanced Video Coding defines a set of profiles to support specific device types","b) The profiles in most widespread use are Main and High, with the Baseline and Extended profiles in use for mobile devices",c) The codec that compresses/decompresses the video content uses a block-oriented motion-compensation scheme,d) None of the mentioned,d,"Explanation: H.264 defines a standard for encoding content, but that the implementation of a codec can vary.",,,,,,,,,,,,,,,,,,,
Question 882,6. Which of the following uses the Vorbis audio codec and the Matroska container file structure?,a) WebM,b) MP4,c) MP3,d) None of the mentioned,a,"Explanation: This container file format is encoded/decoded by the VP8 video codec, which was developed by On2 and now owned by Google.",,,,,,,,,,,,,,,,,,,
Question 883,7. ________ is the iconic flash video-sharing service now owned by Google.,a) BBC,b) CGS,c) YouTube,d) None of the mentioned,c,"Explanation: To use YouTube inside a browser, you need to have Adobe Flash installed on your computer.",,,,,,,,,,,,,,,,,,,
Question 884,8. YouTube Mobile uses ___________ streaming to make video available on other mobile phone platforms.,a) RTP,b) RTSP,c) RTCP,d) All of the mentioned,b,Explanation: YouTube has developed a simplified interface for TV display called YouTube XL.,,,,,,,,,,,,,,,,,,,
Question 885,9. Which of the following is an open-source royalty-free media file format that has been optimized for the Web ?,a) WebM,b) MP4,c) MP3,d) None of the mentioned,a,Explanation: It can also be used to carry HTML5 content.,,,,,,,,,,,,,,,,,,,
Question 886,10. Which of the following video format can be uploaded on Youtube ?,a) OGV,b) OGG,c) DivX,d) All of the mentioned,d,"Explanation: Ogg is a free, open container format maintained by the Xiph.Org Foundation.",,,,,,,,,,,,,,,,,,,
Question 887,1. Which of the following mobile platform support hundreds of thousands of third-party applications ?,a) iPhone,b) Symbian,c) Windows Mobile Phone,d) None of the mentioned,a,"Explanation: The five major smartphone operating systems to consider are Google’s Android, Apple’s iOS (iPhone OS), RIM BlackBerry, Symbian, and Windows Mobile Phone.",,,,,,,,,,,,,,,,,,,
Question 888,2. Point out the wrong statement:,"a) Cloud services are having a major impact on cellular phone technology, and vice versa",b) Very few smartphones come with native applications that consume Web services,"c) Mobile application developers are staging their apps in the cloud, and a number of hosting services provide support for this",d) All of the mentioned,b,Explanation: Many smartphones come with native applications that consume Web services.,,,,,,,,,,,,,,,,,,,
Question 889,"3. In which of the following computing, mobile device serves as the presentation platform or the display ?",a) Soft,b) Mobile,c) JVS,d) All of the mentioned,b,"Explanation: Most of the computing applications that run on mobile devices run on the local device itself, with a few exceptions.",,,,,,,,,,,,,,,,,,,
Question 890,4. Which of the following applications are processed locally on the phone ?,a) Google Earth,b) Google Maps,c) Google Voice,d) None of the mentioned,d,Explanation: Smartphones are essentially miniaturized computers which run locally.,,,,,,,,,,,,,,,,,,,
Question 891,5. Point out the wrong statement:,"a) When you develop an application for the cloud, you need  multiple type of developer and then all the connected phones can use that application","b) When you develop an application for the cloud, you need just one of developer and then all the connected phones can use that application",c) The codec that compresses the video content uses a block-oriented motion-compensation scheme,d) None of the mentioned,a,Explanation: This is one of the main reasons why cloud computing represents a disruptive technology for mobile computing and cell phones.,,,,,,,,,,,,,,,,,,,
Question 892,6. Mobile Lite is an extension of the __________ cloud service.,a) Salesforce.com,b) Google.com,c) aol.com,d) None of the mentioned,a,Explanation: Salesforce.com’s Mobile Lite illustrates an important trend in software to extend its products as cloud services for mobile access.,,,,,,,,,,,,,,,,,,,
Question 893,7. ________ is slated to add both the Opera Mini 5 and Opera Mobile 10 browsers to the Brew mobile platform.,a) Snapdragon,b) Qualcomm,c) Quadrangle,d) None of the mentioned,b,"Explanation: There’s little uniformity in the features and interoperability in the micro-browser arena, but that could change quickly.",,,,,,,,,,,,,,,,,,,
Question 894,8. Which of the following are essential characteristic of smartphone in cloud ?,a) A smartphone offers advanced calling features such as video calls or conferencing,b) A smartphone has a recognizable operating system,c) A smartphone comes with a touchscreen,d) All of the mentioned,b,"Explanation: Smartphones are small computers on which you can make phone calls, send messages, and access Internet data in real time.",,,,,,,,,,,,,,,,,,,
Question 895,9. Which of the following factors needs to be considered while moving from smartphone execution to a virtual machine running in the cloud ?,a) Network bandwidth,b) Memory,c) Processing power,d) None of the mentioned,a,"Explanation: If you move smartphone execution to a virtual machine running in the cloud, smartphones are no longer constrained by their",,,,,,,,,,,,,,,,,,,
Question 896,,,,,,,"processing power, memory, or storage capacity.",,,,,,,,,,,,,,,,,,,
Question 897,10. Which of the following was built to serve as a mobile platform for Internet computing ?,a) Windows Phone,b) Android,c) Symbian,d) All of the mentioned,b,Explanation: The Android software is based on Java and runs in a Dalvik virtual machine.,,,,,,,,,,,,,,,,,,,
Question 898,1. Which of the following is core module of Android for Internet computing?,a) SQLite RDBMS,b) SQL Server RDBMS,c) OpenPL,d) None of the mentioned,a,Explanation: Android serve as consumer or client for cloud computing services.,,,,,,,,,,,,,,,,,,,
Question 899,2. Point out the wrong statement:,a) Google Chrome to Phone Extension sends links and information from a Chrome browser to an Android phone,b) Voice Actions for Android is a voice command and speech recognition program,c) Google Goggles is used for local search,d) All of the mentioned,c,"Explanation: Google Chrome to Phone Extension places a button in your Chrome browser that can push links, maps, selected text, or phone numbers out to your Android phone.",,,,,,,,,,,,,,,,,,,
Question 900,3. Which of the following Google Application can be found in Android?,a) Google Translate,b) Google Shopper,c) My Tracks,d) All of the mentioned,d,Explanation: Google Translate is a language searching program.,,,,,,,,,,,,,,,,,,,
Question 901,4. Which of the following applications are processed locally on the phone?,a) Google Earth,b) Google Maps,c) Google Voice,d) None of the mentioned,d,Explanation: Smartphones are essentially miniaturized computers which run locally.,,,,,,,,,,,,,,,,,,,
Question 902,5. Point out the correct statement:,a) Voice Actions for Android allows you to use spoken commands to control your Android phone,b) The Android Market is not available on Android phones through the Market application,c) Video is accessed with the microphone button inside the Google search box on the Android home screen,d) None of the mentioned,a,"Explanation: This includes dialing a contact, getting a map, sending text or email, playing a music file and browsing the Web.",,,,,,,,,,,,,,,,,,,
Question 903,6. Which of the following has not included support for Adobe Flash or Java on its platform?,a) Microsoft,b) Apple,c) Google,d) None of the mentioned,b,Explanation: Many sites viewed within the Safari micro-browser are not completely rendered.,,,,,,,,,,,,,,,,,,,
Question 904,7. Which of the following is Apple’s cloud service for hosted email service ?,a) MobileMe,b) MobApp,c) MobileCloud,d) None of the mentioned,a,"Explanation: Apple’s Mobile Me contains a number of cloud services such as iDisk, hosted e-mail, and more.",,,,,,,,,,,,,,,,,,,
Question 905,8. Which of the following programming medium is used by MobileMe to create the appearance of a desktop application inside a browser?,a) HTML,b) DHTML,c) Jquery,d) All of the mentioned,b,Explanation: The central application in the suite is Apple’s hosted em-ail service.,,,,,,,,,,,,,,,,,,,
Question 906,9. Which of the following is a photo and video sharing service by MobileMe?,a) iDisk,b) Find My iPhone,c) iWeb Publish,d) MobileMe Gallery,d,Explanation: iDisk is an online storage drive that can browsed and from which items can be shared.,,,,,,,,,,,,,,,,,,,
Question 907,10. Which of the following is Apple’s instant messaging service that interoperates with AIM?,a) iDisk,b) iChat,c) wechat,d) All of the mentioned,b,"Explanation: With MobileMe installed on Windows, you can synchronize data with your MobileMe account to Windows.",,,,,,,,,,,,,,,,,,,
Question 908,1. Which of the following has an application on the iPhone to manage its service deployments?,a) Microsoft,b) Google,c) Rackspace,d) None of the mentioned,c,Explanation: Amazon Web Services has a specific iPhone Application Hosting page for iPhone developers.,,,,,,,,,,,,,,,,,,,
Question 909,2. Point out the wrong statement:,a) iDisk is an online storage drive that can browsed and from which items can be shared,b) iWeb Publish is a hosted Web site that can be accessed either through your own personal domain or through a personal page at Me.com,c) iGoogle is Apple’s instant messaging service that interoperates with AIM,d) All of the mentioned,c,Explanation: iChat is Apple’s instant messaging service that interoperates with AIM.,,,,,,,,,,,,,,,,,,,
Question 910,3. Which of the following  third-party application uses AWS APIs to control the various components and instances you have running ?,a) iAWSManager,b) iEC2Manager,c) iManager,d) all of the mentioned,a,Explanation: An advantage of Android and Windows Mobile is that they have their own dedicated infrastructure on which developers can host their applications.,,,,,,,,,,,,,,,,,,,
Question 911,4. Which of the following web service can be controlled by iAWSManager cloud app from an iPhone ?,a) EC2,b) ELB,c) SQS,d) All of the mentioned,d,"Explanation: iAWSManager lets you control your AWS EC2, ELB, S3, CF, SQS, and SDB Web services from an iPhone.",,,,,,,,,,,,,,,,,,,
Question 912,5. Point out the correct statement:,"a) MobileMe Mail adds a number of features to hosted e-mail including better screen control and formatting, picture handling, and a rich Web experience",b) MobileMe Calendar is an updated version of the online calendar application,c) iPhone applications are hosted on the iTunes App Store,d) None of the mentioned,d,Explanation: Many applications are heavy users of Internet or Web services and require dedicated infrastructure to stage.,,,,,,,,,,,,,,,,,,,
Question 913,6. Which of the following IM service is invented by Blackberry ?,a) BBM,b) ICQ,c) Windows Live Messenger,d) None of the mentioned,a,Explanation: BlackBerry has an IM service called BlackBerry Messenger.,,,,,,,,,,,,,,,,,,,
Question 914,7. __________ Mobile Data-Service Connection Service can connect to mobile BlackBerry devices through a TCP/IP connection.,a) BIS,b) BIM,c) MIS,d) None of the mentioned,a,Explanation: BIS stands for BlackBerry Internet Service.,,,,,,,,,,,,,,,,,,,
Question 915,8. Which of the following Symbian microkernel architecture is designed to work with a single processor ?,a) EKA2,b) EKA1,c) EKA3,d) All of the mentioned,a,"Explanation: Unlike other OSs, Symbian includes device drivers in the kernel itself.",,,,,,,,,,,,,,,,,,,
Question 916,9. The Windows CE ___ kernel is a suite of Microsoft applications optimized for a smaller display size and using the Windows API.,a) 4.2,b) 5.2,c) 6.2,d) MobileMe Gallery,b,Explanation: Microsoft has worked hard to make Windows Mobile devices a natural extension for Windows developers upon which to position their products.,,,,,,,,,,,,,,,,,,,
Question 917,10. Which of the following platform features are used in Windows 7 by Microsoft ?,a) Zune HD,b) iTune HD,c) HD Insight,d) All of the mentioned,a,"Explanation: Applications for the Windows Phone 7 are based on the .NET Compact Framework 4, XNA, and Silverlight Applications.",,,,,,,,,,,,,,,,,,,
Question 918,1. Which of the following is a push mechanism for publishing Web site data that is device-specific?,a) WAP,b) GPRS,c) GAP,d) None of the mentioned,a,Explanation:  WAP stands for Wireless Access Protocol.,,,,,,,,,,,,,,,,,,,
Question 919,2. Point out the wrong statement:,a) Mobile devices use less network traffic in consuming Web services than do fixed-line systems,b) Mobile devices present some challenges for Web services,c) Many service protocols are specifically aimed at providing the necessary translation required to make Websites look good on mobile devices,d) All of the mentioned,a,Explanation: Mobile devices use more network traffic in consuming Web services than do fixed-line systems.,,,,,,,,,,,,,,,,,,,
Question 920,3. Which of the following is a form of message push service?,a) FMS,b) SMS,c) RMS,d) All of the mentioned,b,Explanation:  SMS stands for Short Message System.,,,,,,,,,,,,,,,,,,,
Question 921,4. Which of the following is most popular open-system alternative to system like iOS or BlackBerry OS?,a) Android OS,b) Symbian,c) Solaris,d) All of the mentioned,a,Explanation: Open-system hardware and software tends to evolve more quickly than proprietary systems.,,,,,,,,,,,,,,,,,,,
Question 922,6. Which of the following has made the development of mobile Web applications much easier and more powerful ?,a) Web Services,b) Cloud Computing,c) IM,d) None of the mentioned,a,Explanation: The tendency to include sensors of all types in mobile devices is making the mobile Web a very rich service indeed.,,,,,,,,,,,,,,,,,,,
Question 923,7. Which of the following feature is highly emphasized in open system for mobile application?,a) scalability,b) integrity,c) interoperability,d) none of the mentioned,c,Explanation: One effort to make mobile devices more interoperable is the W3C Mobile Web Initiative.,,,,,,,,,,,,,,,,,,,
Question 924,8. Which of the following factor needs to be addressed while working with mobile applications in cloud?,a) Different methods of navigation through the interface,b) Slow transmission over the connection,c) Variable screen sizes and resolutions,d) All of the mentioned,d,Explanation: The problem with mobile site optimization is that many different devices exist.,,,,,,,,,,,,,,,,,,,
Question 925,9. Which of the following is most common way to approach the problem of interoperability by vendors?,a) create individual sites within a Web site for different devices,b) create scalable websites for different devices,c) create reliable websites for different devices,d) none of the mentioned,a,Explanation: Content is served up to a device based on the device’s identity and content negotiation.,,,,,,,,,,,,,,,,,,,
Question 926,10. Which of the following repository was created by the Mobile Web Initiative’s Device Description Working Group for mobile interoperability?,a) Device Description,b) Device Attributes,c) Distributed Description,d) All of the mentioned,a,"Explanation: This repository would then be used in concert with the DDR Simple API to modify content so screen size, markup language, and image format support is delivered to a device correctly.",,,,,,,,,,,,,,,,,,,
Question 927,1. Which of the following is a specific top-level domain created for the producers and consumers of mobile services?,a) MOB,b) .MOBI,c) CELL,d) None of the mentioned,a,Explanation: .MOBI is maintained as a registry called the Mobile Top Level Domain (mTLD).,,,,,,,,,,,,,,,,,,,
Question 928,2. Point out the wrong statement:,a) Mobile phones are differentiated into feature phones and smartphones,b) Cloud computing offers the capability to run cell phone applications and Web services and to store data remotely,c) The eventual impact of the cloud on mobile devices will be to make them thicker(as client),d) All of the mentioned,c,"Explanation: Many applications that run on smartphones, and in many cases features found in feature phones, are dependent upon the Web services found in the cloud.",,,,,,,,,,,,,,,,,,,
Question 929,3. Which of the following domain is used to create sites that render correctly on mobile devices?,a) Mobile Top Level Domain,b) Mobile Middle Level Domain,c) Mobile Low Level Domain,d) All of the mentioned,a,Explanation: This domain is a sponsored domain and was created by a group of companies in the mobile space.,,,,,,,,,,,,,,,,,,,
Question 930,4. Which of the following tool analyzes Websites and scores them by dotMobi?,a) Ready mobi,b) Call mobi,c) Push mobi,d) All of the mentioned,a,"Explanation: However, dotMobi doesn’t mandate that a Website use any specific technologies, only that it be mobile-device-friendly.",,,,,,,,,,,,,,,,,,,
Question 931,6. Which of the following mechanism is suited for content compatibility on the mobile Web?,a) content negotiation,b) content description,c) content attribute,d) none of the mentioned,a,"Explanation: In HTTP, content negotiation is a mechanism by which user agents can be served a different document or file format based on going to the same URI.",,,,,,,,,,,,,,,,,,,
Question 932,7. Which of the following group aimed at promoting standards on mobile networks?,a) OMTP,b) OTP,c) MTP,d) None of the mentioned,a,Explanation: OMTP stands for Open Terminal Platform.,,,,,,,,,,,,,,,,,,,
Question 933,8. Which of the following vendors were part of WAC promote the market for mobile applications?,a) Motorola,b) Nokia,c) Sony Ericsson,d) All of the mentioned,d,Explanation: WAC stands for Wholesale Applications Community.,,,,,,,,,,,,,,,,,,,
Question 934,9. Which of the following framework is used for creating mobile interfaces and subsystems by OMTP?,a) XACML,b) XLST,c) XAM,d) None of the mentioned,a,Explanation: XACML is an OASIS standard that describes both a policy language and an access control decision request/response language (both written in XML).,,,,,,,,,,,,,,,,,,,
Question 935,10. Which of the following standard mobile API is based on a set of JavaScript APIs?,a) CDMA API,b) GSMA OneAPI,c) DesAPI,d) All of the mentioned,b,Explanation: The Wholesale Applications Community is an industry group aimed at standardizing and promoting mobile applications.,,,,,,,,,,,,,,,,,,,
Question 936,1. Which of the following standard is used for publishing a Web service that is used in cloud computing ?,a) WSDL,b) SMIL,c) XML,d) None of the mentioned,a,Explanation: WSDL standard contributes to the Service Oriented Architecture (SOA).,,,,,,,,,,,,,,,,,,,
Question 937,2. Point out the wrong statement:,a) Web services are useful only if they can be discovered by mobile devices,"b) If protocols are standard and open, the chances of being able to exchange information is decreased",c) Web services are a form of publishing,d) All of the mentioned,b,"Explanation: If protocols are standard and open, the chances of being able to exchange information is increased.",,,,,,,,,,,,,,,,,,,
Question 938,3. Which of the following service is an open registry of business services ?,a) USI,b) UDDI,c) UDDL,d) All of the mentioned,b,"Explanation: UDDI stands for Universa1, Description, Discovery, and Integration.",,,,,,,,,,,,,,,,,,,
Question 939,4. Which of the following page is published by UDDI ?,a) Black,b) Yellow,c) Blue,d) All of the mentioned,b,Explanation: Yellow pages with industry categorization based on standard schema or taxonomies is published by UDDI.,,,,,,,,,,,,,,,,,,,
Question 940,6. Which of the following service provides a means for advertising services on small networks using a multicast protocol ?,a) WS-Discovery,b) WS-API,c) WS-WCF,d) None of the mentioned,a,"Explanation: Typically, the service is delivered using SOAP over UDP.",,,,,,,,,,,,,,,,,,,
Question 941,7. Which of the following pages IN UDDI specify the service endpoints ?,a) White,b) Yellow,c) Gren,d) None of the mentioned,c,Explanation: White pages contain identification information.,,,,,,,,,,,,,,,,,,,
Question 942,"8. Microsoft uses ________ to provision network nodes such as computers, access points, printers, and other network-connected devices.",a) Motorola Rally,b) Windows Rally,c) Sony Rally,d) All of the mentioned,b,Explanation: WS-Discovery is an OASIS standard and is used as part of network discovery in Windows (WSDAPI).,,,,,,,,,,,,,,,,,,,
Question 943,9. Which of the following standard aims to create a searchable global registry of business services ?,a) ebXML,b) eXLST,c) bXML,d) none of the mentioned,a,Explanation: ebXML stands for Electronic Business using eXtensible Markup Language.,,,,,,,,,,,,,,,,,,,
Question 944,10. Electronic Business using eXtensible Markup Language standard is maintained by ________ initiative.,a) UN,b) freebXM,c) fbXM,d) all of the mentioned,b,Explanation: Electronic Business using eXtensible Markup Language is a joint standard of OASIS and UN/CEFACT.,,,,,,,,,,,,,,,,,,,
Question 945,1. ________ Wireless operates services are based on a Wi-Fi Positioning System (WPS).,a) Skydrive,b) Skyhook,c) SkyLook,d) None of the mentioned,b,Explanation: The advantage of WPS is that there are hundreds of millions of Wi-Fi access points worldwide and they are closer to the mobile device.,,,,,,,,,,,,,,,,,,,
Question 946,2. Point out the wrong statement:,a) MEMS stands for microelectromechanical systems,b) MEMS as a class can be between 1000 and 100000 micrometers in size,c) Several MEMS are packaged in smartphones,d) All of the mentioned,b,Explanation: MEMS as a class can be between 1 and 1000 micrometers in size.,,,,,,,,,,,,,,,,,,,
