Question,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 495,4. Which provides a framework for studying object recognition?,a) Learning,b) Unsupervised learning,c) Supervised learning,d) None of the mentioned,c,"Explanation: Supervised learning or pattern classification provides a framework for studying object recognition."
Question 496,5. Which object recognition process is an error-prone process?,a) Bottom-up segmentation,b) Top-down segmentation,c) Both Bottom-up & Top-down segmentation,d) None of the mentioned,a,"Explanation: In the process of creating subset of pixels, the bottom-up segmentation is an error-prone process."
Question 497,6. Which is the only way to learn about the different kinds of human faces?,a) Perception,b) Speech,c) Learning,d) Hearing,c,"Explanation: None."
Question 498,7. What can be represented by using histograms or empirical frequency distributions?,a) Words,b) Color,c) Texture,d) Both Color & Texture,d,"Explanation: Color and texture can be represented by using histograms or empirical frequency distributions."
Question 499,8. Which can be deformed into alignment using simple coordinate transformations?,a) Matching,b) Deformable matching,c) Feature,d) All of the mentioned,b,"Explanation: The distance between images can be deformed into alignment using simple coordinate transformations. And it is called as Deformable matching."
Question 500,9. Which describes the coarse arrangement of the rest of the shape with respect to the point?,a) Shape,b) Context,c) Shape context,d) None of the mentioned,c,"Explanation: Because an object’s shape can be manipulated with respect to the point."
Question 501,10. How the distance between two shapes can be defined?,a) Weighted sum of the shape,b) Size of the shape,c) Shape context,d) None of the mentioned,a,"Explanation: The distance between two shapes can be defined as a weighted sum of the shape context distance between corresponding points."
Question 502,1. How many issues are available in describing degree of belief?,a) 1,b) 2,c) 3,d) 4,b,"Explanation: The main issues for degree of belief are nature of the sentences and the dependance of degree of the belief."
Question 503,2. What is used for probability theory sentences?,a) Conditional logic,b) Logic,c) Extension of propositional logic,d) None of the mentioned,c,"Explanation: The version of probability theory we present uses an extension of propositional logic for its sentences."
Question 504,3. Where does the dependance of experience is reflected in prior probability sentences?,a) Syntactic distinction,b) Semantic distinction,c) Both Syntactic & Semantic distinction,d) None of the mentioned,a,"Explanation: The dependance on experience is reflected in the syntactic distinction between prior probability statements."
Question 505,4. Where does the degree of belief are applied?,a) Propositions,b) Literals,c) Variables,d) Statements,a,"Explanation: None."
Question 506,5. How many formal languages are used for stating propositions?,a) 1,b) 2,c) 3,d) 4,b,"Explanation: The two formal languages used for stating propositions are propositional logic and first-order logic."
Question 507,6. What is the basic element for a language?,a) Literal,b) Variable,c) Random variable,d) All of the mentioned,c,"Explanation: The basic element for a language is the random variable, which can be thought as a part of world and its status is initially unknown."
Question 508,7. How many types of random variables are available?,a) 1,b) 2,c) 3,d) 4,c,"Explanation: The three types of random variables are boolean, discrete and continuous."
Question 509,8. Which is the complete specification of the state of the world?,a) Atomic event,b) Complex event,c) Simple event,d) None of the mentioned,a,"Explanation: An atomic event is the complete specification of the state of the world about which the event is uncertain."
Question 510,9. Which variable cannot be written in entire distribution as a table?,a) Discrete,b) Continuous,c) Both Discrete & Continuous,d) None of the mentioned,b,"Explanation: For continuous variables, it is not possible to write out the entire distribution as a table."
Question 511,10. What is meant by probability density function?,a) Probability distributions,b) Continuous variable,c) Discrete variable,d) Probability distributions for Continuous variables,d,"Explanation: None."
Question 512,1. How many terms are required for building a bayes model?,a) 1,b) 2,c) 3,d) 4,c,"Explanation: The three required terms are a conditional probability and two unconditional probability."
Question 513,2. What is needed to make probabilistic systems feasible in the world?,a) Reliability,b) Crucial robustness,c) Feasibility,d) None of the mentioned,b,"Explanation: On a model-based knowledge provides the crucial robustness needed to make probabilistic system feasible in the real world."
Question 514,3. Where does the bayes rule can be used?,a) Solving queries,b) Increasing complexity,c) Decreasing complexity,d) Answering probabilistic query,d,"Explanation: Bayes rule can be used to answer the probabilistic queries conditioned on one piece of evidence."
Question 515,4. What does the bayesian network provides?,a) Complete description of the domain,b) Partial description of the domain,c) Complete description of the problem,d) None of the mentioned,a,"Explanation: A Bayesian network provides a complete description of the domain."
Question 516,5. How the entries in the full joint probability distribution can be calculated?,a) Using variables,b) Using information,c) Both Using variables & information,d) None of the mentioned,b,"Explanation: Every entry in the full joint probability distribution can be calculated from the information in the network."
Question 517,6. How the bayesian network can be used to answer any query?,a) Full distribution,b) Joint distribution,c) Partial distribution,d) All of the mentioned,b,"Explanation: If a bayesian network is a representation of the joint distribution, then it can solve any query, by summing all the relevant joint entries."
Question 518,7. How the compactness of the bayesian network can be described?,a) Locally structured,b) Fully structured,c) Partial structure,d) All of the mentioned,a,"Explanation: The compactness of the bayesian network is an example of a very general property of a locally structured systems."
Question 519,8. To which does the local structure is associated?,a) Hybrid,b) Dependant,c) Linear,d) None of the mentioned,c,"Explanation: Local structure is usually associated with linear rather than exponential growth in complexity."
Question 520,9. Which condition is used to influence a variable directly by all the others?,a) Partially connected,b) Fully connected,c) Local connected,d) None of the mentioned,b,"Explanation: None."
Question 521,10. What is the consequence between a node and its predecessors while creating bayesian network?,a) Functionally dependent,b) Dependant,c) Conditionally independent,d) Both Conditionally dependant & Dependant,c,"Explanation: The semantics to derive a method for constructing bayesian networks were led to the consequence that a node can be conditionally independent of its predecessors."
Question 522,1. Fuzzy logic is a form of,a) Two-valued logic,b) Crisp set logic,c) Many-valued logic,d) Binary set logic,c,Explanation: With fuzzy logic set membership is defined by certain value. Hence it could have many values to be in the set. 
