Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,
Question 736,People who are investment managers in personality orientation are classified as,artistic,investigative,realistic,enterprising,D,No explanation,
Question 737,Study of different employment needs of company is,ratio analysis,scatter plot,trend analysis,all of above,C,No explanation,
Question 738,'HR' manager must be familiar with,Strategic planning,Production department,Marketing and finance,all of above,D,No explanation,
Question 739,People that are attracted to occupations involving interpersonal skills more than physical activities are said to be,realistic orientation,investigative orientation,social orientation,artistic orientation,C,No explanation,
Question 740,Planning function of management process involves,Developing employees,Evaluating performance,Establishing departments,Establishing goals,D,No explanation,
Question 741,Types of pension plans include,contributory versus noncontributory,defined contribution versus defined benefit,qualified versus non-qualified,all of above,D,No explanation,
Question 742,Kind of pension plan which follows a formula to determine retirement benefits is classified as,defined benefit pension plan,defined contribution pension plan,defined noncontributory pension plan,deferred contribution pension plan,A,No explanation,
Question 743,Directing staff activities in related areas is part of,Staff function,Coordinative functions,Line function,Both A and B,C,No explanation,
Question 744,Use of handwriting to determine basic personality traits of writer is known as,graphology,handwriting test,projective personality test,none of above,A,No explanation,
Question 745,In formulating of hypothesis reviewing antecedents means,things before the employee's job,things after employee's job,things during the employee's job,interviewing for appraisals,A,No explanation,
Question 746,Stage in which people develop new roles such as confidantes of younger people is called,exploration stage,growth stage,midcareer crisis sub stage,decline stage,D,No explanation,
Question 747,While writing job description 'job title' is written in section of,job summary,responsibilities and duties,job identification,both b and c,C,No explanation,
Question 748,Process through a person comes to know about self-skills interests and motivation is called,career,career management,career planning,career development,C,No explanation,
Question 749,Strike occurs when one union of workers strike in favor of another union of workers is classified as,economic strike,wildcat strike,unfair labor practice strike,sympathy strike,D,No explanation,
Question 750,Work design is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,B,No explanation,
Question 751,Interview in which interviewer writes questions and answers before time is called,non directive interview,directive interview,Both A and B,none of above,B,No explanation,
Question 752,Retired officers of Indian Army are recruited by real estate firms is an example of,phased retirement,flexible work,honoring experience,modifying selection procedure,C,No explanation,
Question 753,'survey research' is an example is,human process intervention,techno structural interventions,strategic interventions,HRM interventions,A,No explanation,
Question 754,Changing and updating benefit plans is performed by,Corporate HR group,Center of expertise,Transactional HR group,Embedded HR unit,C,No explanation,
Question 755,Handling labor relations and safety laws for company's labor is part of,Line functions,Staff functions,Coordinative functions,Both (a) and (c),B,No explanation,
Question 756,Comparing quite dissimilar jobs such as nurses to technicians is best classified as,comparable worth,incomparable worth,definable worth,indefinable worth,A,No explanation,
Question 757,Blue collar workers often get paid on,time based pay,performance based pay,extra bonuses,discount on fares,A,No explanation,
Question 758,'HRD' dimension which is measured with help of development of questionnaire is named as,HRD culture,Business linkage score,HRD competence score,HRD system maturity score,A,No explanation,
Question 759,A pay grade is comprised of,jobs of equal difficulty,jobs of equal pay,jobs of equal incentives,jobs of equal skills,A,No explanation,
Question 760,If a person finds imbalance between his services and paid salary,tension is created,person is more motivated,person is less motivated,person is never motivated,A,No explanation,
Question 761,Availability of information systems for updating and integration of learning recruitment and employee pay is part of,phased retirement,preretirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 762,Situation' when third neutral party helps in negotiation of agreement is classified as,arbitration,mediation,impasse,intervention,B,No explanation,
Question 763,Basis of 'organizational development' is,action research,customer research,marketing research,human research,A,No explanation,
Question 764,The meaning of the acronym HRM is,Human Relations Management,Humanistic Resource Management,Human Resource Management,Human Resourceful Management,C,No explanation,
Question 765,HRM is___________,A staff functions,A line function,A staff function line function and accounting function,All of the above,A,No explanation,
Question 766,Finding ways to reduce ________ is a key responsibility of management.,Dissatisfaction,Uncertainty,Stress,None of the above,B,No explanation,
Question 767,The ________ and control systems should be altered to support the strategic human resource function.,Appointment,Reward,Job allotment,None of the above,B,No explanation,
Question 768,All aspects of the merger need ________.,Controlling,Delegating,Staffing,Managing,D,No explanation,
Question 769,Commitment strategy is inherently ________.,Short term,Long term,Continuous,None of the above,B,No explanation,
Question 770,HR professionals has to be skilled in the art of ________.,Clarifying,Handling people,Both (A) and (B),None of the above,A,No explanation,
Question 771,________ of management is likely to be another key agenda item.,Performance,Quality,Expansion,Decision,B,No explanation,
Question 772,Strategic thinking is a ________ process.,Short term,Long term,Continuous,All of the above,C,No explanation,
Question 773,________ is considered as a strategic activity.,Recruitment,Planning,Productivity,All of the above,A,No explanation,
Question 774,Competitive edge comes from the ________ of people.,Competency,Efforts,Quality,Hard work,C,No explanation,
Question 775,The business side of the process begins with the strategic _____ as the guiding framework.,HR,Plan,Policy,None of the above,B,No explanation,
Question 776,Individual level where people are usually motivated to close the gap between their current and desired ______.,Capabilities,Skills,Expectations,Performance,A,No explanation,
Question 777,HR professional should apply risk management techniques to the different aspects of ________.,HR Strategies,HR Competencies,Both (A) and (B),None of the above,A,No explanation,
Question 778,Developing characteristics of people needed to run business in ________ .,Short term,Medium term,Long term,Any of the above,C,No explanation,
Question 779,________ issues tend to be well disguised.,Political,Territorial,Social,Economical,B,No explanation,
Question 780,________ suggests Human Resource Strategy in itself may not be effective.,Peter Drucker,Tony Groundy,John Zimmerman,Anonymous,B,No explanation,
Question 781,Pettigrew & Whipp identified ________ central factors for managing change successfully.,Three,Four,Five,Six,C,No explanation,
Question 782,________ executives take a full part in the strategic planning process.,Training & Development,Human Resource,Quality Control,Production,A,No explanation,
Question 783,________ aims to put a financial measure on an organisation's intellectual capital.,Knowledge exchange,The consortium,Financial planning,None of the above,A,No explanation,
Question 784,_______ is defined as the record of outcomes produced on a specific job function or activity during a specific time period.,Performance,Work function,Evaluation,None of the above,A,No explanation,
Question 785,______ is the personnel activity by means of which the enterprise determines the extent to which the employee is performing the job effectively.,Job evaluation,Work evaluation,Performance evaluation,None of the above,A,No explanation,
Question 786,A/An ______ is a plan or programmes to motivate individual or group performance.,Incentive scheme,Promotion scheme,Reward,None of the above,C,No explanation,
Question 787,A/An ______ is a vertical move in rank and responsibility.,Increment,Appraisal,Promotion,None of the above,C,No explanation,
Question 788,The _________ provides the essential information on which each job is evaluated.,Job ranking,Job enrichment,Job description,Job enlargement,A,Job ranking,Job enrichment
Question 789,Section ________ of the Industrial Disputes Act 1947 states that an employer should only retrench employees who have been most recently hired,24-F,24-G,25-F,25-G,D,No explanation,
Question 790,The ________ programme once installed must be continued on a permanent basis.,Job evaluation,Training & Development,Recruitment,All of the above,A,No explanation,
Question 791,For closure every worker is to be compensated with ________ average pay for every year of service completed,15 days,20 days,25 days,30 days,A,No explanation,
Question 792,The whole process of conducting a 360 - Degree Feedback process in any Organisation could last about ________.,1.5 to 3 months,3 to 6 months,6 to 9 months,9 to 12 months,A,No explanation,
Question 793,In a re-engineering programme when a process changes so does the ________ of the concerned employee.,Designation,Job profile,Qualification,Job experience,B,No explanation,
Question 794,Union leaders at different levels & at federations are elected on ________,democratic principle,political considerations,employer?s recommendation,seniority basis,A,No explanation,
Question 795,______ is the simple act of comparison & learning for organisational improvement,Benchmarking,Feedback,Ranking,Job evaluation,A,No explanation,
Question 796,_______ can be defined as a written record of the duties responsibilities and conditions of job.,Job description,Job specification,Job profile,None of the above,A,No explanation,
Question 797,Under training and development plan the form is to be prepared in ________ form.,Duplicate,Structured,Detailed,None of the above,A,No explanation,
Question 798,The process of analyzing jobs from which job descriptions are developed are called________.,Job analysis,Job evaluation,Job enrichment,Job enlargement,A,No explanation,
Question 799,360-Degree Feedback enhances the quality of ________ decisions.,HR,Management,HRD,All of the above,D,No explanation,
Question 800,In the Grid Seminars stress is laid on _______.,Teaching,Professionalism,Training & Development,All of the above,A,No explanation,
Question 801,__________ involves a one to one discussion between the participant and administrator.,Counselling,Training,Motivation,All of the above,A,No explanation,
Question 802,______ appraisal done separately will provide feedback on the potential of these managers.,Potential,Managerial,General,Administrative,A,No explanation,
Question 803,"Stephen Knauf defined HRA as ""the measurement & ________ of Human organisational inputs such as recruitment training experience & commitment",Qualification,Accounting,Development,None of the above,A,No explanation,
Question 804,Under ______ method common factors to all the jobs are identified.,Point,Merit,Factor comparison,Ranking,A,No explanation,
Question 805,The ________ role is to ensure the deserving managers should get appropriate opportunities for job Rotation.,Reviewer,Assessor,Administrator,Employer,A,No explanation,
Question 806,The role of the organisation in career planning is to introduce & strengthen systems to ensure ________ of employees,Career progression,Self development,Economical Development,Skill enhancement,T,Design jobs with increased motivational properties,Assign jobs with proper motivational properties
Question 807,A broad statement of the purpose scope duties and responsibilities of a particular job is___________,Job specification,Job description,Job analysis,Job design,C,No explanation,
Question 808,Executive recruiters are also called___________,head hunters,staffers,alternative staffing companies,contract technical recruiters,A,No explanation,
Question 809,Strategic management process usually consists of ______steps.,Four,Five,Six,Seven,B,No explanation,
Question 810,Treating employees as precious human resources is the basis of the ___________ approach,Hard HRM,Soft HRM,Medium HRM,Utiliarian approach,T,Casual applicants,Advertising
Question 811,The most popular method of recruiting applicants to jobs is___________,Radio and TV advertisement,Corporate website,Employee referral schemes,Commercial job boards,B,No explanation,
Question 812,Using a structured interviewing technique would likely achieve all of the following except___________,Increased consistency across candidates,Reduced subjectivity on the part of the interviewer,Enhanced job relatedness,More opportunity to explore areas as they arise during the interview,D,No explanation,
Question 813,Recruiting is necessary to___________,forecast the supply of outside candidates,developing an applicant pool,determine whether to use inside or outside candidates,develop qualifications inventories,B,No explanation,
Question 814,Campus Recruiting does not have the advantage of___________,High Intellectual Capacity,Higher understanding of organization,High level of curiosity,High potential,B,No explanation,
Question 815,The characteristics of human resources are ___________in nature,Homogeneous,Heterogeneous,Ductility,Stable,B,No explanation,
Question 816,___________ Best. Defines how. Well a test or selection procedure measures a person's attributes.,Reliability,Testing,Validity,Organizational constraint,C,No explanation,
Question 817,Job Enrichment involves___________,Increases the amount of money employees are paid for completing an unit of work,Is a programme through which management seeks greater productivity from workers,my answer: (that staff is moved periodically from task to task in order to increase variety and interest,Involves giving employees work with a greater degree of responsibility and autonomy,D,No explanation,
Question 818,Moving employees from one job to another in a predetermined way is called ___________,Job rotation,Job reengineering,Work mapping,Job enrichment,A,No explanation,
Question 819,The following are some of the ways that human resources can benefit through electronic systems except___________,online recruiting can eliminate paperwork and speed up the hiring process,online learning can slash travel costs and make training available anytime anywhere,working online can reduce the resistance sometimes experienced from employees,online retirement planning can help employees map out their future while reducing questions and paperwork for HR,C,No explanation,
Question 820,___________tests have proven to be particularly good predictors for jobs that require,Intelligence,Integrity,Work sampling,Aptitude,A,No explanation,
Question 821,Although many authors experience difficulty in distinguishing between personnel management and HRM it can be argued that HRM is the elevation of personnel management to a more ________ Level.,Strategic,organisational,operational,centralized,B,No explanation,
Question 822,HRM is more___________ whereas Personnel Management is slightly narrow,Complex,Detailed,Mechanical,Growth-oriented,D,No explanation,
Question 823,The term used before the language of modern HRM was,Labour Relations,Personnel Management,Industrial Management,All of the above,D,No explanation,
Question 824,Which of the following is not a function normally performed by HR department?,Accounting,Recruitment and Selection,Pay and Reward,Employee Relations,A,No explanation,
Question 825,Which of the following statements is false?,Organizations are now less hierarchical in nature,Organizations are now generally focusing upon domestic rather than international matters,Organizations have adopted more flexible norms,Organizations have been subject to a raft of organizational change programs,B,No explanation,
Question 826,HRM is,Employee oriented,Employer oriented,Legally oriented,None of the above,A,No explanation,
Question 827,Scope of the HRM includes,Retirement and separation of employees,HR training and development,Industrial relations,All of the above,D,No explanation,
Question 828,The objectives of HRM are categorized as,Personal objectives,Functional objectives,Organisational and social objectives,All of the above,D,No explanation,
Question 829,The scope of HRM does not include,Retirement of employees,Manpower planning,Training of employees,Maintenance of accounts,D,No explanation,
