Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,,,,,,,
Question 244,Let N = 1421*1423*1425. What is the remainder when N is divided by 12?,0,9,3,6,C, Remainder(1421*1423*1425)/12 ==R==>(5*7*9)/12[Here we have taken individual remainder such as 1421 divided by 12 gives remainder 5 1423 and 1425 gives the remainder as 7 and 9 on dividing by 12.]Now the sum is reduced to(5*7*9)/12 = (35*9)/12(35*9)/12 = Remainder ==> -1 * -3 = 3 [Here we have taken negative reminder.] So required remainder will be 3.Note: When 9/12 it gives positive remainder as 9 and it also give a negative reminder -3. As per our conveniencewe can take any time positive or negative reminder.,,,,,,,
Question 245,Three numbers are in ratio 1:2:3 and HCF is 12. The numbers are:,122436,112233,122432,51015,A, Since the numbers are given in the form of ratio that means their common factors have been cancelled.Each one's common factor is HCF.And here HCF = 12hence the numbers are 12 24 and 36.Alternatively Let the numbers be x 2x and 3x.The HCF in x 2x and 3x is x because 1 2 3 are prime.Hencex = 12; then the other numbers are 24 and 36.,,,,,,,
Question 246,What is the least number of soldiers that can be drawn up in troops of 12 15 18 and 20 soldiers and also in form of a solid square?,900,400,1600,2500,A, In this type of question We need to find out the LCM of the given numbers.LCM of 12 15 18 and 20;12 = 2*2*3;15 = 3*5;18 = 2*3*3;20 = 2*2*5;Hence LCM = 2*2*3*5*3Since the soldiers are in the form of a solid square.Hence LCM must be a perfect square. To make the LCM a perfect square We have to multiply it by 5 hence the required number of soldiers = 2*2*3*3*5*5 = 900.,,,,,,,
Question 247,Find the least number which will leaves remainder 5 when divided by 8 12 16 and 20.,240,245,265,235,B, We have to find the Least number therefore we find out the LCM of 8 12 16 and 20.8 = 2*2*2;12 = 2*2*3;16 = 2*2*2*2;20 = 2*2*5;LCM = 2*2*2*2*3*5 = 240;This is the least number which is exactly divisible by 8 12 16 and 20.Thusrequired number which leaves remainder 5 is240+5 = 245.,,,,,,,
Question 248,76n- 66n where n is an integer >0 is divisible by,13,127,559,All of these,D, For n = 176n-66n = 76 -66= (73)2-(63)2= (73-63)( 73+63)= (343-216)*(343+216)= 127*559.= 127 * 13 *43.Clearly it is divisible by 127 13 as well as 559.,,,,,,,
Question 249,After the division of a number successively by 3 4 and 7 the remainder obtained is 2 1 and 4 respectively. What will be remainder if 84 divide the same number?,80,75,42,53,D, As the Number gives a remainder of 4 when it is divided by 7 then the number must be in form of (7x +4).The same gives remainder 1 when it is divided 4 so the number must be in the form of {4*(7x+4)+1}.Also the number when divided by 3 gives remainder 2 thus number must be in form of [3*{4*(7x +4)+1}+2]Now On simplifying[3*{4*(7x+4)+1}+2]= 84x+53.We get the final number 53 more than a multiple of 84. Hence if the number is divided by 84the remainder will be 53.,,,,,,,
Question 250,Find the remainder when 2256 is divided by 17.,1,16,14,None of these,A, Given2256/17We can write it as: (24)641664/17.Individually when 16 is divided by 17 gives a negative reminder of -1. Required Remainder(-1)64 = 1Alternatively1664/17 can be written as(16*16*16*16*16....... 64 times)/17.Now we take the negative remainder of each 16 divided by 17 gives negative remainder -1.So the Remainder will be(-1*-1*-1*-1*-1...........64 times)= 1.,,,,,,,
Question 251,Find the remainder when 496 is divided by 6.,0,2,3,4,D, 496/6 We can write it in this form(6-2)96/6Now Remainder will depend only the powers of -2. So(-2)96/6It is same as([-2]4)24/6 it is same as(16)24/6Now(16*16*16*16..... 24 times)/6On dividing individually 16 we always get a remainder 4.So(4*4*4*4............ 24 times)/6.Hence Required Remainder = 4.NOTE: When 4 has even number of powers it will always give remainder 4 on dividing by 6.,,,,,,,
Question 252,What is the sum of all two digit numbers that gives a remainder of 3 when they are divided by 7?,666,676,683,777,B, The two digit number which gives a remainder of 3 when divided by 7 are:10 17 24 ..... 94.Now these number are in AP series with1st Term a = 10;Number of Terms n = 13;Last term L = 94 andCommon Difference d = 7.Sum= {n*(a+L)/2}= 13*52 = 676.,,,,,,,
Question 253,The remainder  when (1523+2323) is divided by 19 is,4,15,0,18,C, NOTE: an+bnis always divisible by (a+b) when n is odd.So (1523+2323) always divisible by 38.And 38 is a multiple of 19 So the number which is divisible by 38 is divisible by 19 too.(1523+2323) is divisible by 19.So (1523+2323)/19==Remainder==>(15+23)/19==Remainder==>38/19==Remainder==>0.,,,,,,,
Question 254,A heap of pebbles when made up into group of 32 40 72 leaves the remainder 10 18 and 50 respectively. Find least number of pebbles in the heaps.,1440,1420,1418,1422,C, In this type of problem we find the difference of divisors and their remainders.Here difference32-10 = 22;40-18 = 22;72-50 = 22;Here in each case difference is same i.e. 22.Then required number of pebbles is given by[(LCM of 32 4072)-22];32 = 2*2*2*2*2;40 = 2*2*2*5;72 = 2*2*2*3*3;HenceLCM = 2*2*2*2*2*3*3*5 = 1440;ThusRequired number of pebbles= 1440-22 = 1418.,,,,,,,
Question 255,The sum of two numbers is 684 and their HCF is 57. Find all possible pairs of such numbers.,(57627)(285399),(37575)(270390),(45495)(30330),(45575)(280890),A, Since HCF of two numbers = 57.Hence numbers are multiples of 57.Let the numbers be 57x and 57y where x and y are prime to each other.According to the sum57x+57y = 684;Or x+y = 12;Hence required possible pair of values of x and y which are prime to each other are (1 11) and (5 7).Thus required pairs of numbers are;{57*1 = 57 and 57*11 = 627}{57*5 = 285 and 57*7 = 399 },,,,,,,
Question 256,Two numbers are in the ratio 3:4. If their LCM is 240 the smaller of two number is,100,80,60,50,C, Let these two numbers be 3x and 4x then their LCM = 12x.Now according to question12x = 240;Or x = 20;Thus the numbers are (3x = 3*20)60 and (4x = 4*20) 80.Then smaller in this two is 60.,,,,,,,
Question 257,The HCF of two numbers each having three digits is 17 and their LCM is 714. The sum of the numbers will be:,289,391,221,731,C, Let the numbers be 17x and 17y where x and y are co-prime.LCM = 17xy.Now 17xy = 714;Or xy = 42 = 6*7;‰ Õx = 6 and y = 7;Or x = 7 and y = 6;1st number = 17*6 = 102;2nd number = 17*7 = 221;Sum = 102+119 = 221.,,,,,,,
Question 258,The greatest number which when subtracted from 5834 gives a number exactly divisible by each of 20283235 is.,1120,4714,5200,5600,B, LCM of 20 28 32 35 will be the greatest number which is divisible by these numbers.Firstly we find LCM of 20 28 32 35;20 = 2*2*5;28 = 2*2*7;32 = 2*2*2*2*2;35 = 5*7;LCM = 2*2*2*2*2*5*7 = 1120. Required number = 5834-1120 = 4714.,,,,,,,
Question 259,Which among 21/2 31/3 41/4 61/6 and 121/12is largest?,21-Feb,31-Mar,41/4,121/12,B,LCM in power 2 3 4 6 12 is 12We multiplied the LCM to the power of the numbers.21*12/2 31*12/3 41*12/4 61*12/6 and 121*12/12;we get= 26 34 43 62 12= 64 81 64 36 12Hence greatest number would be 31/3.,,,,,,,
Question 260,LCM of two numbers is 936. If their HCF is 4 and one of the numbers is 72 the other is,42,52,62,None of these,B, Let two numbers be N1 and N2.Now we haveHCF of the numbers * LCM of the numbers = Multiplication of the numbers.936*4 = 72*N1;Or N1 = (936*4)/72;Or N1 = 52.,,,,,,,
Question 261,The rightmost non-zero digit of the number 302720 is,1,3,7,9,A,(30)2720 we can write it as[(30)4]680Or[(10*3)4]680The right most non-zero digit depends on the unit digit of [(3)4]680.Unit digit of [(3)4]680Or (81)680The unit digit of 81 is 1 so any power of 81 will always give its unit digit as 1.Thus required unit digit is 1.,,,,,,,
Question 262,When we reverse the digits of the number 13 the increases by 18. How many other two digit numbers increases by 18 when their digits are reversed?,5,6,7,8,B, Let the numbers are in the form of (10x+y) so when the digits of the number are reversed the number becomes (10y+x).According to question(10y+x) - (10x+y) = 18;Or 9(y-x) = 18;‰ Õy-x = 2.So the possible pairs of (x y) are (1 3) (2 4) (3 5) (4 6) (5 7) (6 8) and (7 9).But we need the number other than 13.Thus there are 6 possible numbers i.e. 24 35 46 57 68 79.So total numbers of possible numbers are 6.,,,,,,,
Question 263,The sum of four consecutive two-digit odd numbers when divided by 10 become a perfect square. Which of the following can possibly be one of these four numbers?,21,25,41,67,C,Using options we find that four consecutive odd numbers are 37 39 41 and 43. The sum of these 4 numbers is 160 when divided by 10; we get 16 which is a perfect square.Thus 41 is one of the odd numbers.,,,,,,,
Question 264,Consider four digit numbers for which the first two digits are equal and the last two digits are also equal. How many such numbers are perfect squares?,2,4,0,1,D, Any four digit number in which first two digits are equal and last two digits are also equal will be in the form 11*(11a+b) i.e. it will be the multiple of 11 like 1122 3366 2244 . . . . Now let the required number be aabb. Since aabb is a perfect square the only pair of a and b that satisfy the above mentioned condition is a = 7 and b = 4.Hence 7744 is a perfect square.,,,,,,,
Question 265,In a 4-digit number the sum of the first two digits is equal to that of last two digits. The sum of the first and last digits is equal to third digit. Finally the sum of the second and fourth digits is twice the sum of the other two digits. What is the third digit of the number?,5,8,1,4,A, Let the 1st 2nd 3rd and 4th digits be a b b c and d respectively.Thena+b = c+d;a+d = c;b+d = 2(a+c);from eqn. (i) and (ii)a+b = a+2d‰ Õb = 2d.and eqn (iii);2d+d = 2(a+a+d) ‰ Õ 3d = 2(2a+d)‰ Õd = 4aor a = d/4; ‰ Õ Now from eqn. (ii) a+d = (d/4)+d = 5d/4 = cOr c = 5/4d.The value of d can be either 4 or 8.If d = 4 then c = 5.If d = 8 then c = 10.But the value of c should be less than 10.Hence value of c would be 5.,,,,,,,
Question 266,Two alarm clocks ring their alarms at regular intervals of 50 seconds and 48 seconds. If they first beep together at 12 noon at what time will they beep again for first time?,12:10 PM,12:12 PM,12:11 PM,None of these,D, They will ring together afterLCM of 48 and 50 secs.48 = 2*2*2*2*3;50 = 2*5*5;LCM = 2*2*2*2*3*5*5 = 1200 secs= 20 min.They will beep together at 12:20.,,,,,,,
Question 267,On a road three consecutive traffic lights change after 36 42 and 72 seconds respectively. If the lights are first switched on at 9:00 AM sharp at what time will they change simultaneously?,9:08:04,9:08:24,9:08:44,None of these,B, LCM of 36 42 and 7236 = 2*2*3*3;42 = 2*3*7;72 = 2*2*2*3*3.LCM = 2*2*2*3*3*7 = 504 seconds.LCM of 36 42 and 72 is 504.Hence the lights will change simultaneously after 8 minutes and 24 seconds.,,,,,,,
Question 268,The HCF of 2472 1284 and a third number 'N' is 12. If their LCM is 23*32*5*103*107 then the number 'N' is:,22*32*7,22*33*10,22*32*5,None of these,D,We haveHCF of the numbers * LCM of the numbers = Multiplication of the numbers.(12)*(23*32*5*103*107) = 2472* 1284*N;HenceN = {(12)*(23*32*5*103*107)}/2472*1284;Or N = 3*5.,,,,,,,
Question 269,Find the LCM and HCF of 2.5 0.5 and 0.175.,2.5,5,7.5,17.5,D,2.5 = 25/10;0.5 = 5/10;0.175 = 175/1000;NowLCM of two or more fractions is given by:(LCM of Numerators)/(HCF of Denominators).Thus(LCM Of 25 5 175)/(HCF of 10101000).= 175/10 = 17.5.,,,,,,,
Question 270,Find the HCF of (3125-1) and (335-1).,34-1,35-1,312-1,None of these,B,The solution of this question is based on the ruleThe HCF of (am-1) and (an-1) is given by (aHCF of mn -1).Thus for this question the answer is (35-1).Since 5 is the HCF of 35 and 125.,,,,,,,
Question 271,The last digit of the number obtained by multiplying the numbers 81*82*83*84*86*87*88*89 will be,0,6,7,2,B, The last digit of multiplication depends on the unit digit of (81*82*83*84*86*87*88*89) which is given by the remainder obtained on dividing it by 10.(81*82*83*84*86*87*88*89)/10We take individual remainder of each digit(1*2*3*4*6*7*8*9)/10Numbers multiplied(24*42*72)/10Individual Remainder has been taken(4*2*2)/10Or(16)/10Or6Remainder = 6So the last digit will be 6.,,,,,,,
Question 272,The sum of the digits of two-digit number is 10 while when the digits are reversed the number decrease by 54. Find the changed number.,28,19,37,46,A, Let number be (10x+y).According to question(10x+y)-(10y+x) = 54;10x-10y+y-x = 54;Or 9x-9y = 54;Or x-y = 6 ------------(i)Sum of digits(x+y) = 10; ------ (ii)(i)-(ii);So x-y-x-y = 6-10;Or -2y = -4;Or y = 2; and x = 8.Then the required number is(10y+x) = 10*2+8 = 28.,,,,,,,
Question 273,If A381 is divisible by 11 find the value of the smallest natural number A?,5,6,7,9,C, A number is divisible by 11 if the difference of the sum of the digits in the odd places and sum of the digits in even place is zero or divisible by 11.Hence (A+8)-(3+1) = 0 or multiple of 11.To get the difference 0 or multiple of 11 we need 7 at the place of A.So sum of odd place - sum of even place= 15-4 = 11. And this is divisible by 11.,,,,,,,
Question 274,If 381A is divisible by 9 find the value of the smallest natural number A?,5,8,7,6,D, A number is divisible by 9 when the sum of its digit is divisible by 9.So (3+8+1+A) = must be divisible by 9;Thus smallest natural number be 6.Or (3+8+1+6) = 18 this is divisible by 9.,,,,,,,
Question 275,A forester wants to plant 44 apples tree 66 banana trees and 110 mango trees in equal rows (in terms of number of trees). Also he wants to make distinct rows of tree (i.e. only one type of tree in one row). The number of rows (minimum) that required is:,2,3,10,11,C, In such case we first need to find the HCF of 44 66 110.44 = 2*2*11;66 = 2*3*11;110 = 2*5*11;HCF = 2*11 = 22.Then the required numbers of rows= {(44/22)+(66/22)+(110/22)} = 10.,,,,,,,
Question 276,The greatest number which will divides: 4003 4126 and 4249 leaving the same remainder in each case:,43,41,45,None of these,B,Rule- Greatest number with which if we divide PQR and it leaves same remainder in each case. Number is of form = HCF of (P-Q)(P-R).Therefore HCF of (4126 - 4003) (4249 - 4003) = HCF of 123 246 = 41.[Taken for Positive result].Detailed Explanation:The numbers can be written as4003 = AX +P where P = Remainder4126 = BX +P4249 = CX +P(B - A)*X = 123(C - B)*X = 246Thus the X is factor of 123 and 246.,,,,,,,
Question 277,Find the number of divisors of 1420.,14,15,13,12,D, 1420 = 2*2*5*71 = (20+21+22)*(50+51)*(710+711);Here we count the number of terms in the expansion.In the above expansion1420 contains number of terms = (3)*(2)*(2) = 12;Then the number of factors or divisors = 12.,,,,,,,
Question 278,The LCM of two numbers is 1890 and their HCF is 30. If one of them is 270 the other will be,210,220,310,320,A, HCF of the numbers * LCM of the numbers = Multiplication of the numbers.Or 30*1890 = 270*N;Or N = 30*1890/270;Or N = 210.,,,,,,,
Question 279,Find the least number of five digits which when divided by 40 60 and 75 leave remainders 31 51 and 66 respectively.,10196,10199,10191,10197,C, Difference 40-31 = 9;60-51 = 9;75-66 = 9;Difference between numbers and remainder is same in each case.ThenThe answer = {(LCM of 40 60 75)-9};40 = 2*2*2*5;60 = 2*2*3*5;75 = 3*5*5;LCM = 2*2*2*5*5*3 = 600;But the least number of 5 digits = 10000;10000/600 we get remainder as 400.Then the answer = 1000-(600-400)-9; = 10191.,,,,,,,
Question 280,There are 576 boys and 448 girls in a school that are to be divided into equal sections of either boys or girls alone. Find the total number of sections thus formed?,24,32,16,20,C, 576 = 2*2*2*2*2*2*3*3;448 = 2*2*2*2*2*2*7;HCF = 2*2*2*2*2*2 = 64;Hence number of classes required;(576/64)+(448/64)= 9+7 = 16.Short-Cut:The numbers (3*3) and 7 are not a part of HCF. And sum of multiplication of these number is the required answer.,,,,,,,
Question 281,Which of following can never be ending of a perfect square?,0,ooo,1,6,B, A perfect square never ends with odd number of zeros.,,,,,,,
Question 282,Find the remainder when 65203 is divided by 7.,4,2,1,6,C,65203/7Or(63+2)203/763 is divisible by 7 so remainder will depend on the powers of 2.Or2203/7Its remainder would be same as23/7Now Required Remainder would be8/7 = 1 Required remainder = 1.Note: We have manipulated the powers in the form of (4x + n). It means 203 is taken as203 = 4x +n = 4*50 +3.We neglect power which is in the multiple of 4.,,,,,,,
Question 283,Find the remainder when 67107 is divided by 7.,4,2,1,6,C,67107/7Or (7*9+4)107/7The remainder will be same as4107/7Or 43/7Or 64/7Required Remainder = 1.,,,,,,,
Question 284,Find the remainder when 54124 is divided by 17.,8,13,16,9,B,54124/17Or(17*3+3)124/17The remainder would be same as3124/17Or 34*31/17Remainder will be same as34/17Or 81/17Remainder = 13. ,,,,,,,
Question 285,Find unit digit of product (173)45*(152)77*(777)999.,4,2,8,6,C,To find unit digit of a number or an Expression We have to divide the number or expression by 10 and the remainder obtained by this operation would be the required unit digit.{(173)45*(152)77*(777)999}/10Remainder would be same as(345*277*7999)/10Or(3*2*73)/10Or(6*343)/10Remainder would be same as(6*3)/10.Thus Required remainder and unit digit will be 8.,,,,,,,
Question 286,The square of a number greater than 1000 that is not divisible by three when divided by three leaves a remainder of,1 always,2 always,either 1 or 2,0,A, In such cases remainder will always be 1.,,,,,,,
Question 287,If 146! Is divisible by 5n and then find the maximum value of n.,34,35,36,37,B,Required answer= [146/5] + [146/52] + [146/53];= 29+5+1.= 35.Note:We have taken integral value only not the fractional.For example 146/5 = 29.2 but we have taken 29 and so on.,,,,,,,
Question 288,Three friends returning from a movie stopped to eat at a restaurant. After dinner they paid their bill and noticed a bowl of mints at the front counter. Sita took 1/3 of the mints but returned four because she had a monetary pang of guilt. Fatima then took 1/4 of what was left but returned three for similar reasons. Eswari then took half of the remainder but threw two back into the bowl. The bowl had only 17 mints left when the raid was over. How many mints were originally in the bowl?,38,31,41,None of these,D, Number of mint before Eswari has taken= (x-(x/2)) +2=17;Or x = 30;Number of mint before Fatima has taken= [x-(x/4)] +3 = 30;Or x = 36;Number of mint before Sita has taken= [x-(x/3)] +4 = 36;Or x = 48.Hence there were 48 mints originally.,,,,,,,
Question 289,Some birds settled on the branches of a tree. First they sat one to a branch and there was one bird too many. Next they sat two to a branch and there was one branch too many. How many branches were there?,3,4,5,6,A, When the birds sat one on a branch there was one extra bird.When they sat Two to a branch one branch was extra.Now we go through the options;Checking option (a);If there were 3 branches there would be 4 birds.(This would leave one bird without branch as per the question.)When 4 birds would sit Two to a branch there would be one branch free(as per the question.).Hence the option (a) is correct.,,,,,,,
Question 290,If we divide the unknown two-digit number by the number consisting of the same digits written in the reverse order we get 4 as quotient and 3 as remainder. If we divide the required number by sum of its digits we get 8 as a quotient and 7 as a remainder. Find the number?,81,91,71,72,C, We go through the optionsChecking option (c)71/17 = 4 quotient and remainder 3.71/8 = 8 quotient and remainder 7 as remainder.,,,,,,,
Question 291,The last three-digits of the multiplication 12345*54321 will be,865,745,845,945,B,If we multiply the last three digits of each terms we get the last three digits.345*321 = 110745;So the last three digits are 745.,,,,,,,
Question 292,The owner of a local jewellery store hired 3 watchmen to guard his diamonds but a thief still got in and stole some diamonds. On the way out the thief met each watchman one at a time. To each he gave /2 of the diamonds he had then and 2 more besides. He escaped with one diamond. How many did he steal originally?,36,25,640,None of these,A, At last thief is left with one diamond.Hence the number of diamonds before he gave some diamonds to the third watchman=x-((x/2) +2) = 1;Or (x-4)/2 = 1;Or x = 6.Hence he had 6 diamonds before he gave 5 to the third watchman.Similarly number of diamonds before giving to second watchman(x-4)/2=6;Or x = 16.And number of diamonds before giving to the first watchman(x-4)/2 = 16;Or x = 36.Therefore the thief has stolen 36 diamonds originally.,,,,,,,
Question 293,The number of employees in Examveda and Co. is a prime number and less than 300. The ratio of the number of employees who are graduates and above to that of employees who are not can possibly be:,101:88,87:100,110:111,97:84,D, Using optionswe find that the sum of numerator and denominator of 97:84 is (97+84) = 181 which is a prime number.Hence it is the appropriate answer.,,,,,,,
Question 294,The remainder  when (22225555+55552222) is divided by 7 is,4,5,0,2,C,an+bn is always divisible by (a+b) when n is odd.So(22225555+55552222) is always divisible by (2222+5555) = 7777.And 7777 is multiple of 7so (22225555+55552222) is divisible by 7.,,,,,,,
Question 295,A young girl counted in the following way on the fingers of her left hand. She started calling the thumb 1 the index finger 2 middle finger 3 ring finger 4 little finger 5 then reversed direction calling the ring finger 6 middle finger 7 index finger 8 thumb 9 and then back to the index finger for 10 middle finger for 11 and so on. She counted up 1994. She ended on her,Thumb,Index finger,Middle finger,Ring finger,C, If the girl counts the way as given in the question the counting serial for thumb will be 1 9 17 25 . . . . Hence number 1992 ( as 1992 is divisible by 8 common difference of series formed by counting) will also fall on thumb. Hence number 1994 will end on her middle finger.,,,,,,,
Question 296,How many pairs of natural numbers is there the difference of whose squares are 45.,1,2,3,4,C, (x2-y2)=45;Or (x-y)(x+y)=45.Thus the factors of 45 possibles are 15 3 9 5 1 and 45.Hence numbers are 9 and 6 or 7 and 2 or 23 and 22.So number of such pairs = 3.,,,,,,,
Question 297,The remainder when 1010+ 10100+101000+ . . . . . . + 101000000000 is divided by 7 is,0,1,2,5,B,Number of terms in the series = 10.(We can get it easily by pointing the number of zeros in power of terms.In 1st term number of zero is 1 2nd term 2 and 3rd term 3 and so on.)1010/7 Written as(7+3)(4*2+2)/7The remainder will depend on32/7So remainder will be 2.10100/7 Can be written as3100/7.Or 325*4/7Or 34/7.Remainder = 1101000/7 Remainder = 21010000/7 Remainder = 1So we get alternate 2 and 1 as remainder five times each.So required remainder is given by(2+1+2+1+2+1+2+1+2+1)/7= 15/7,,,,,,,
Question 298,There are 154 beads in a rosary and all are coloured either RED or BLUE or GREEN. The number of blue ones is three less than red and five more than green. The number of Red beads are:,55,47,45,52,A, Let the number of red beads = X.Hence Blue beads = (X-3).and Green beads = (X-8).According to the sumX+X-3+X-8 = 154.or 3X-11 = 154.or X = 55.,,,,,,,
Question 299,Recently a small village in Tamilnadu where only male shepherd reside with four sheep each was devastated by Tsunami waves. Therefore 8 persons and 47 sheep were found to be dead and the person who luckily survived left the village with one sheep each since 21 sheep were too injured to move so have left on their on luck in the village. The number of sheep which were earlier in the village was :,84,120,80,90,C, Let there be x people in the village so then 4x sheep must be there.No number of person leaving the village= (x-8) [as 8 person died in Tsunami]And the number of sheep to be carried with the survived people4x-(47+21) = x-8. [Here we are equating No of alive sheep and no. of alive person. As 1 person has 4 sheep means 1 person = 4 sheep.]Or 3x = 60Or x = 20Or 4x = 80.Hence80 sheep.,,,,,,,
Question 300,A boy appeared in CAT for four consecutive year years but coincidentally each time his net score was 75. He told me that there was 1/3rd negative marking for every wrong answer and 1 mark was allotted for every correct answer. He has attempted all the questions every year but certainly some answers have been wrong due conceptual problem. Which is not the total number of questions asked for CAT in any year in that period?,231,163,150,123,C, Option method:The best way to go through options. You will find that when you consider 150 questions you cannot get 75 marks anyhow.Alternatively:Since 75 is an integer he must have to do (75+4x) problems where x is a whole number. Now we put the value of x (0 123 4 5 .........) to get the correct answer.As he gets the net marks in integer it means when he does 3n question wrong he losses actually 4n marks.,,,,,,,
Question 301,(182 - 1) (184 - 1) (186 - 1) (188 - 1) . . . . (1816 - 1) (1818 - 1) is :,1,17,9,13,C,Total number of terms in expression = 9.(182 - 1) = (18-1)*(18+1).(184 - 1) = (182 +1)*(182-1) = (182 +1) * (18-1)*(18+1).(186 - 1) = [(183)2 -1] = (183 + 1) (183 - 1) = 17 * k and so on.Hence there will be 9 times 17 in the whole expression as each term of expression gives one 17. Therefore for maximum power of 17 will be 9.,,,,,,,
Question 302,The total number of 3 digit numbers which have two or more consecutive digits identical is:,171,170,90,180,A, In each set of 100 numbers there are 10 numbers whose tens digit and unit digit are same. Again in the same set there are 10 numbers whose hundreds and tens digits are same. But one number in each set of 100 numbers whose Hundreds Tens and Unit digit are same as 111 222 333 444 etc.Hence there are exactly (10+10-1) = 19 numbers in each set of 100 numbers. Further there are 9 such sets of numbers.Therefore such total numbers = 19*9 = 171.Alternatively9*10*10 - 9*9*9 = 900-729 = 171.,,,,,,,
Question 303,A magazine publisher publishes a monthly magazine of 84 pages. One I found that in a magazine 4 pages was missing. One out of them was page number 29 it is known that the page number of the last page of the magazine is 84 (including the cover pages). The numbers printed on the missing pages were :,29 52 53,30 55 56,28 52 53,Cannot determined,B,Since the magazine has 84 pages it means that there are 21 sheets of paper which are folded in the middle. The pattern of pages will be this way  Left Right1 2 83843 4 81 82--------29 30,,,,,,,
Question 304,The remainder when 6666.. is divided by 10 is :,3,6,5,0,B,Since6/10 ‰ Õ remainder is 6.66 /10 ‰ Õ remainder is 6.666 /10 ‰ Õ remainder is 6.6666 /10 ‰ Õ remainder is 6.66666 /10 ‰ Õ remainder is 6 and so on.Thus In all the such casesThe remainder will always be 6.,,,,,,,
Question 305,[(888 *888 *888) -(222 *222 *222)] /[(888 *888) +(888 *222) +(222 *222)],777,888,1010,666,D,[(888 *888 *888) - (222 *222 *222)] /[(888 *888) + (888 *222) + (222 *222)]= (8883 - 2223) /[8882 + (888 *222) + 2222]= 888 - 222= 666a3 - b3 = (a-b) (a2 ab +b2),,,,,,,
Question 306,The remainder of (323232) /7 :,1,2,3,4,D,323232 means 32(32.32.32.32........ 32 times)and the remainder of 32 /7 is 4.So4(32.32.32.32........ 32 times) /7.4(2.2.2.2.2........ 32 times) /7.Remainder = 4.Since 4 /7 ‰ Õ Remainder 4.42 /7 ‰ Õ Remainder 2.43 /7 ‰ Õ Remainder 1.44 /7 ‰ Õ Remainder 4.,,,,,,,
Question 307,The Remainder of [888222 +222888] /3 is :,0,1,2,3,A,Remainder of [888222 +222888] /3 = 0.Since 888 and 222 both (bases) are divisible by 3.,,,,,,,
Question 308,10 +102 +103 +104 +............. + 1099 is divided by 6.,0,1,2,3,A,The remainder when 10 is divided by 6 is 4.The remainder when 102 is divided by 6 is 4.The remainder when 103 is divided by 6 is 4.The remainder when 104 is divided by 6 is 4.Thus remainder is always 4.So the required remainder= [4 +4 +4 +4 + ........ 99 times] / 6= 396 / 6.Thus Required remainder is 0.,,,,,,,
Question 309,The remainder of (3)67! divided by 80 is :,0,1,2,3,B, Since 34 = 81 gives remainder 1 on divided by 80.So 34n/ 80  gives remainder 1.Thus 367!/ 80  will also give the remainder as 1.Since 67! = 4n for a positive integer n.,,,,,,,
Question 310,The remainder of 3997! /40 is :,39,0,1,13,A,Since an/(a+1) gives remainder 1 when 'n' is even.Now since 97! is an even number so remainder will be 1.Note:-Factorial of any no. is even.,,,,,,,
Question 311,The remainder of 259/ 255 is:,55,56,0,none of these,D, 259 can be expressed as 28n.SoRemainder 259/255 = Remainder 28n /255 = Remainder 256n /255 = 1. Required remainder = 1.,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
